	GSM4743729	GSM4743730	GSM4743731	GSM4743732	GSM4743733	GSM4743734	GSM4743735
1600012H06Rik	1714	1743	1423	1821	1659	1706	1572
1600014C10Rik	1139	1040	829	1075	1073	1261	917
1600014C23Rik	3	2	2	2	8	1	3
1600015I10Rik	2	2	1	0	3	1	0
1600029O15Rik	6	3	6	9	6	22	7
1700001C02Rik	33	38	38	57	37	13	35
1700001C19Rik	66	96	54	82	83	49	76
1700001F09Rik	0	0	0	0	0	0	0
1700001J03Rik	4	3	5	3	5	12	5
1700001J11Rik	17	16	27	16	27	26	14
1700001K19Rik	8	14	20	6	13	6	11
1700001L19Rik	18	11	9	10	10	4	3
1700001O22Rik	5	4	5	2	3	2	1
1700001P01Rik	1	1	2	3	0	0	2
1700003E16Rik	239	244	145	168	246	150	165
1700003F12Rik	1	1	0	1	1	1	0
1700003H04Rik	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0
1700006E09Rik	0	1	0	1	0	1	0
1700007B14Rik	1	2	2	23	9	2	1
1700007E05Rik	2	1	3	6	8	3	1
1700007G11Rik	3	2	1	2	3	0	1
1700007K09Rik	0	0	1	3	1	0	0
1700007K13Rik	94	131	72	99	84	69	81
1700008O03Rik	31	32	21	33	38	33	28
1700008P02Rik	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0
1700010B08Rik	2	1	1	2	4	0	1
1700010I14Rik	145	178	126	134	153	123	168
1700010N08Rik	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	1	0
1700011H14Rik	36	11	16	9	16	23	24
1700011I03Rik	0	0	1	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	1
1700011M02Rik	0	0	0	2	0	0	1
1700012A03Rik	0	0	0	0	0	0	0
1700012B07Rik	2	2	1	1	1	3	1
1700012B09Rik	0	0	0	0	0	0	0
1700012L04Rik	8	5	5	0	7	5	0
1700012P22Rik	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0
1700013F07Rik	43	49	38	61	44	48	30
1700013G24Rik	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0
1700014D04Rik	1	3	1	1	1	2	0
1700015E13Rik	1	0	0	2	0	2	3
1700015F17Rik	1	2	1	2	0	0	1
1700015G11Rik	5	6	2	8	9	8	7
1700016C15Rik	0	5	3	1	0	2	0
1700016D06Rik	12	14	21	15	8	20	10
1700016H13Rik	1	3	1	0	1	1	1
1700016K19Rik	37	37	17	21	23	26	19
1700017B05Rik	778	745	484	747	699	650	654
1700017D01Rik	0	0	0	1	0	1	0
1700017N19Rik	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	1	0	0	0
1700018C11Rik	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0
1700018M17Rik	13	9	4	6	4	12	13
1700019A02Rik	0	1	0	1	3	0	1
1700019B03Rik	1	7	4	2	3	3	1
1700019D03Rik	2921	2613	2041	2880	2745	2335	2536
1700019M22Rik	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0
1700019O17Rik	0	1	2	0	0	0	0
1700020A23Rik	1	0	2	0	0	2	0
1700020D05Rik	20	25	43	28	20	47	21
1700020L24Rik	11	9	9	12	8	9	9
1700020N01Rik	1	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0
1700021F05Rik	407	392	288	312	355	358	310
1700021F07Rik	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0
1700022I11Rik	1	3	4	9	5	3	2
1700023F06Rik	539	626	401	546	590	465	583
1700024B05Rik	0	1	0	0	0	0	0
1700024G13Rik	0	0	2	0	1	0	0
1700024J04Rik	11	6	5	7	7	1	4
1700024P04Rik	0	0	0	0	0	0	0
1700024P16Rik	21	141	97	228	47	33	48
1700025B11Rik	0	0	0	0	0	0	1
1700025C18Rik	6	6	6	4	1	9	5
1700025F22Rik	0	0	0	0	0	0	0
1700025G04Rik	450	562	510	667	447	378	430
1700028B04Rik	1	3	4	2	0	3	2
1700028J19Rik	21	10	17	21	12	22	19
1700028K03Rik	12	29	37	24	31	26	17
1700028P14Rik	0	0	0	0	0	0	0
1700029F12Rik	8	4	3	3	5	3	3
1700029H14Rik	0	1	0	0	1	0	0
1700029I15Rik	63	80	49	76	57	84	59
1700029J07Rik	413	610	415	484	401	714	425
1700029P11Rik	0	0	0	1	2	0	0
1700030C10Rik	158	136	107	151	113	119	76
1700030J22Rik	95	82	61	82	104	88	53
1700030K09Rik	551	600	466	593	689	592	552
1700031F05Rik	0	1	0	0	0	1	0
1700031M16Rik	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0
1700034I23Rik	4	1	12	2	5	4	2
1700034J05Rik	0	1	1	1	4	1	1
1700034O15Rik	0	0	0	0	0	0	0
1700037C18Rik	387	408	281	423	430	381	404
1700037H04Rik	484	537	324	465	424	373	463
1700039E15Rik	0	0	0	0	1	1	1
1700040F15Rik	0	0	0	0	0	0	0
1700040L02Rik	269	333	156	285	212	224	317
1700042G07Rik	0	0	0	0	0	0	0
1700047I17Rik2	465	503	329	477	352	407	485
1700048O20Rik	33	41	39	33	30	42	50
1700049E17Rik1	0	0	0	0	0	0	0
1700049E17Rik2	0	0	1	0	0	0	0
1700049G17Rik	556	564	616	693	630	628	439
1700049L16Rik	0	0	0	0	1	0	0
1700056E22Rik	132	156	95	166	166	94	156
1700057G04Rik	5	10	10	9	9	6	5
1700061G19Rik	2	2	3	3	3	6	3
1700063K16Rik	0	0	0	0	0	0	0
1700064H15Rik	0	0	2	5	1	1	2
1700065I16Rik	0	0	0	0	0	0	0
1700066B19Rik	12	17	12	19	13	14	21
1700066M21Rik	380	322	289	357	343	431	320
1700067K01Rik	30	29	15	36	21	39	28
1700067P10Rik	0	0	0	0	1	0	1
1700069L16Rik	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0
1700073E17Rik	0	2	1	0	0	0	2
1700074P13Rik	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0
1700080O16Rik	0	1	0	0	0	0	0
1700084J12Rik	1	0	2	1	2	1	3
1700084M14Rik	0	0	0	0	0	0	0
1700086D15Rik	2	6	4	14	4	0	8
1700086L19Rik	2651	3157	3039	3137	2623	1946	2803
1700088E04Rik	392	452	325	446	322	396	376
1700091H14Rik	0	0	0	0	0	0	0
1700092M07Rik	19	13	7	16	7	21	21
1700093K21Rik	4	5	24	9	5	3	8
1700102P08Rik	18	21	17	19	19	42	9
1700109H08Rik	34	66	84	69	33	57	50
1700110I07Rik	0	0	0	0	0	0	0
1700112E06Rik	4	6	9	8	3	3	5
1700113H08Rik	3	2	1	4	5	5	7
1700122O11Rik	0	1	1	3	0	0	1
1700123I01Rik	4	2	2	6	6	2	2
1700123K08Rik	1	0	0	2	0	0	0
1700123L14Rik	0	0	1	1	0	0	0
1700123O20Rik	752	705	596	823	770	769	718
1700125H20Rik	0	3	2	3	0	1	2
1700128F08Rik	21	16	47	26	25	28	14
1700129C05Rik	0	0	0	1	0	0	0
1810009A15Rik	487	448	288	385	392	353	407
1810009J06Rik	163	84	917	725	559	121	484
1810010H24Rik	368	527	345	540	508	275	466
1810011H11Rik	9	11	6	6	14	8	7
1810011O10Rik	782	862	743	773	619	558	769
1810013L24Rik	2374	2753	2044	2743	2476	2350	2163
1810018F18Rik	372	60	517	238	120	341	136
1810022K09Rik	1000	1165	798	1204	914	1117	1010
1810024B03Rik	79	87	71	83	78	79	85
1810026J23Rik	3263	3745	2584	3715	3308	3316	3062
1810030O07Rik	2353	2339	1711	2233	2339	2055	2074
1810032O08Rik	121	139	130	169	119	159	102
1810037I17Rik	2359	2330	1591	2383	2504	2000	2096
1810041L15Rik	698	779	577	718	719	515	630
1810043G02Rik	1591	1838	1436	1928	1524	1517	1921
1810043H04Rik	510	431	320	449	471	384	438
1810046K07Rik	0	0	3	0	0	0	0
1810049J17Rik	230	259	227	251	193	274	300
1810055G02Rik	200	281	213	247	273	348	215
1810062G17Rik	237	336	199	266	272	168	253
1810065E05Rik	0	0	0	0	0	0	0
2010001K21Rik	1	1	3	2	2	1	4
2010003K11Rik	2	0	0	1	0	0	0
2010005H15Rik	4	1	1	2	3	1	1
2010010A06Rik	0	0	0	0	1	1	0
2010106E10Rik	0	0	0	0	0	0	0
2010107E04Rik	1141	1158	835	1087	1103	921	1089
2010107G12Rik	55	49	23	49	39	60	55
2010107G23Rik	1072	1093	764	1089	1095	854	1003
2010109A12Rik	20	22	22	25	28	28	22
2010109I03Rik	47	67	71	79	57	66	34
2010111I01Rik	3225	3168	2950	3472	3631	3375	3384
2010300C02Rik	1579	1505	1312	1430	1654	1308	1415
2010315B03Rik	424	474	429	473	465	433	383
2200002D01Rik	4	5	7	6	5	11	6
2200002J24Rik	57	63	43	60	75	39	73
2210010C04Rik	100363	13422	89115	39936	28338	81546	47398
2210011C24Rik	25	29	16	20	30	26	42
2210013O21Rik	1062	1089	821	1023	1080	939	1021
2210016F16Rik	2120	2108	1572	2123	2088	1770	2012
2210016L21Rik	2831	2856	1930	2762	2925	2474	2706
2210017I01Rik	0	2	1	0	3	1	0
2210404O09Rik	332	441	360	427	407	281	344
2210407C18Rik	2	2	2	2	2	3	1
2210408I21Rik	603	748	592	833	585	457	596
2210409E12Rik	0	0	0	0	0	0	0
2210418O10Rik	1033	1131	813	1087	1111	1121	1011
2300002M23Rik	0	0	0	0	0	1	0
2300003K06Rik	0	0	0	0	0	0	0
2300009A05Rik	749	765	654	750	771	720	777
2310002L09Rik	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0
2310007B03Rik	1	0	0	1	1	0	0
2310009B15Rik	280	341	262	306	284	237	263
2310011J03Rik	1181	1053	784	1112	1158	972	1060
2310022A10Rik	959	1026	792	1019	821	849	871
2310022B05Rik	8557	10635	7181	9972	9715	7271	10388
2310030G06Rik	1166	1349	937	1333	1179	1160	1221
2310033P09Rik	634	651	536	699	669	647	560
2310034C09Rik	0	0	0	1	1	0	0
2310034G01Rik	270	295	180	268	267	219	202
2310035C23Rik	2174	2944	2557	3253	2455	2309	2651
2310036O22Rik	3108	3434	2534	3817	3367	2721	3215
2310039H08Rik	622	639	490	673	642	634	552
2310046K23Rik	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	1	267
2310057M21Rik	792	912	782	911	903	965	747
2310057N15Rik	1	0	0	0	0	0	0
2310061I04Rik	1080	1080	921	1200	1019	1239	1035
2310061N02Rik	1	3	0	0	0	4	0
2310079G19Rik	0	1	0	0	0	0	0
2410002F23Rik	2331	3197	2621	3141	2492	3152	2483
2410004B18Rik	461	427	391	463	551	509	390
2410004P03Rik	30	31	34	33	42	41	33
2410015M20Rik	2694	2975	2080	2882	2973	2169	2801
2410016O06Rik	351	364	317	387	442	410	285
2410024N13Rik	1	0	2	3	2	1	2
2410089E03Rik	2249	2069	2728	2829	2561	2364	2471
2410131K14Rik	1306	1187	996	1183	1177	1299	1318
2410137M14Rik	1	0	0	0	0	0	0
2410141K09Rik	16	14	17	20	14	26	13
2510002D24Rik	918	778	639	859	841	912	761
2510009E07Rik	3288	3246	2713	3429	3123	2975	3068
2510039O18Rik	3778	3652	2763	3707	3420	3654	3645
2610001J05Rik	1511	1916	1301	1871	1727	1259	1692
2610002M06Rik	2182	2335	1976	2371	2195	2214	2106
2610005L07Rik	1053	1271	1284	1334	967	1493	1094
2610008E11Rik	1389	1528	1384	1655	1517	1173	1322
2610020H08Rik	112	85	84	91	101	176	102
2610021A01Rik	768	800	834	892	752	853	757
2610024D14Rik	0	0	0	0	0	0	0
2610028H24Rik	14	9	9	5	15	14	14
2610042L04Rik	6	0	0	0	0	0	4
2610044O15Rik8	712	819	747	772	800	733	651
2610301B20Rik	1486	1615	1307	1823	1532	1498	1326
2610305D13Rik	424	418	365	431	431	347	332
2610318N02Rik	38	44	52	68	45	64	60
2610507B11Rik	10792	11333	9221	12731	10380	11159	10917
2610524H06Rik	766	882	638	913	923	678	864
2610528A11Rik	5	1	0	1	1	2	2
2610528J11Rik	51	57	53	65	42	77	59
2700029M09Rik	856	930	738	953	928	762	916
2700049A03Rik	832	823	710	912	705	741	818
2700060E02Rik	2953	2908	2204	2803	2781	2462	2842
2700062C07Rik	523	575	433	555	494	495	516
2700081O15Rik	1770	1844	1741	2119	1723	1785	1550
2700094K13Rik	604	606	431	562	649	500	570
2700097O09Rik	317	364	335	392	289	472	279
2700099C18Rik	37	78	40	83	43	44	41
2810004N23Rik	742	738	598	738	809	685	641
2810006K23Rik	571	493	420	534	553	532	456
2810021J22Rik	782	920	708	942	764	768	797
2810025M15Rik	555	539	355	507	512	445	476
2810039B14Rik	74	87	78	90	87	83	51
2810047C21Rik1	74	46	14	27	45	1	27
2810403A07Rik	2874	3604	3038	4000	2508	4107	2678
2810408A11Rik	13	25	30	33	14	15	26
2810417H13Rik	75	61	82	68	88	99	59
2810428I15Rik	1056	839	636	895	986	884	867
2810459M11Rik	5	1	7	5	0	2	5
2810474O19Rik	1130	1508	1333	1464	1284	1441	1017
2900011O08Rik	54	77	31	60	30	24	43
2900026A02Rik	4513	4846	4724	5772	4946	3892	4932
2900055J20Rik	2	4	0	1	0	2	1
2900092C05Rik	0	0	0	0	0	0	0
3000002C10Rik	300	357	275	352	304	441	273
3010026O09Rik	46	71	49	82	66	34	68
3100002H09Rik	0	0	0	0	0	0	0
3110001I22Rik	59	73	73	69	70	97	63
3110002H16Rik	1108	1185	942	1188	1142	1211	1007
3110009E18Rik	73	71	46	69	79	68	77
3110018I06Rik	0	0	0	0	0	0	0
3110021N24Rik	9	13	15	13	7	10	3
3110035E14Rik	0	1	1	0	0	1	0
3110040N11Rik	430	464	371	453	474	399	403
3110043O21Rik	1165	1153	879	1281	1136	1200	1199
3110052M02Rik	379	479	376	465	433	486	339
3110053B16Rik	41	49	53	50	36	25	47
3110062M04Rik	249	282	204	265	321	276	228
3110067C02Rik	2	5	7	4	4	4	7
3110070M22Rik	51	106	40	102	69	62	34
3110079O15Rik	0	0	1	0	0	0	0
3110082I17Rik	566	528	447	539	612	402	503
3110082J24Rik	0	1	0	0	1	0	0
3300002I08Rik	48	45	52	58	27	37	37
3425401B19Rik	245	291	193	302	199	137	220
3632451O06Rik	34	51	39	53	41	35	31
3830403N18Rik	3	0	3	0	1	11	10
3830406C13Rik	1578	1522	1198	1414	1621	1515	1456
3830408C21Rik	9	15	16	19	8	20	6
3830417A13Rik	0	0	0	0	0	0	0
4430402I18Rik	135	194	121	168	149	120	162
4833418N17Rik	0	0	0	0	0	0	0
4833420G17Rik	1439	2017	1367	2285	1369	1700	1244
4833423E24Rik	0	1	0	0	0	0	0
4833427G06Rik	21	37	21	34	37	20	22
4833439L19Rik	13981	15977	12875	15624	15274	14085	14005
4921501E09Rik	0	0	1	0	0	0	0
4921504E06Rik	1	0	1	0	2	0	1
4921507P07Rik	104	145	85	111	72	113	138
4921508M14Rik	0	0	0	0	0	0	0
4921509C19Rik	0	1	0	1	0	0	0
4921511C20Rik	0	0	0	0	0	0	0
4921511H03Rik	1	0	2	1	0	0	0
4921511M17Rik	0	0	0	0	0	0	0
4921513D11Rik	1	2	1	6	3	3	3
4921513I03Rik	2	3	7	3	3	5	2
4921517D22Rik	0	1	0	0	0	1	0
4921524J17Rik	368	436	358	443	407	341	319
4921524L21Rik	0	0	0	0	0	0	0
4921528I07Rik	0	5	1	1	1	0	2
4921530L21Rik	0	0	0	0	0	0	0
4921536K21Rik	135	159	95	142	137	145	119
4921539E11Rik	0	0	1	1	2	0	0
4922502D21Rik	0	0	0	0	0	0	0
4930402F06Rik	0	0	0	0	0	0	0
4930402H24Rik	7810	6934	6654	6751	9028	6935	7080
4930402K13Rik	0	0	0	0	0	0	0
4930404H24Rik	2	10	4	3	10	4	4
4930404N11Rik	53	46	22	67	34	36	13
4930407I10Rik	0	0	0	0	0	0	1
4930408O17Rik	0	0	0	0	0	0	0
4930412O13Rik	0	0	0	0	0	0	0
4930415F15Rik	1	2	2	0	1	0	1
4930415H17Rik	0	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0	0
4930415O20Rik	18	8	20	10	7	11	9
4930421P07Rik	0	0	0	0	0	0	0
4930426L09Rik	16	39	12	25	18	13	22
4930427A07Rik	119	110	83	145	64	175	116
4930430A15Rik	0	1	0	0	0	0	0
4930430F08Rik	653	603	558	655	700	708	597
4930431P19Rik	319	317	299	373	349	214	326
4930432E11Rik	1	0	0	5	1	1	0
4930432K21Rik	14	21	15	19	20	11	21
4930432M17Rik	0	0	1	1	0	1	0
4930433I11Rik	0	0	0	0	0	0	0
4930435E12Rik	0	0	0	0	0	0	0
4930438A08Rik	0	1	0	0	0	0	0
4930442H23Rik	4	4	8	7	5	5	3
4930444G20Rik	1	0	0	0	0	0	0
4930444P10Rik	18	10	5	10	7	9	5
4930447A16Rik	0	0	3	0	0	0	0
4930447C04Rik	3	7	9	5	1	4	3
4930447F04Rik	0	0	0	0	0	0	0
4930448K20Rik	0	0	0	0	0	1	0
4930449A18Rik	1	1	0	0	2	0	0
4930449I24Rik	0	0	0	0	0	0	0
4930451G09Rik	145	143	128	163	172	159	139
4930451I11Rik	0	1	1	1	1	1	0
4930452B06Rik	34	26	33	36	20	43	36
4930453N24Rik	1440	1611	1282	1685	1596	1480	1400
4930455H04Rik	0	0	0	0	0	0	0
4930465K10Rik	4	10	12	7	2	6	4
4930467E23Rik	0	0	0	0	1	0	0
4930469B13Rik	0	0	0	0	0	0	0
4930470P17Rik	18	19	11	22	17	15	29
4930474N05Rik	1	3	4	3	1	0	1
4930480E11Rik	0	0	0	0	0	0	0
4930486L24Rik	7	9	7	5	7	1	6
4930488N24Rik	0	0	0	0	1	0	1
4930502E18Rik	6	15	7	10	17	8	7
4930503B20Rik	14	4	4	9	14	7	13
4930503E14Rik	0	0	0	0	1	0	0
4930503H13Rik	0	0	0	0	0	0	0
4930503L19Rik	253	282	289	318	233	253	267
4930504O13Rik	0	0	0	0	0	0	0
4930505A04Rik	62	93	49	84	97	45	75
4930507D05Rik	15	13	16	27	19	22	22
4930512M02Rik	21	10	41	26	18	24	8
4930513O06Rik	3	8	0	4	2	1	5
4930515G13Rik	0	6	0	1	4	1	0
4930515G16Rik	0	0	0	0	0	0	0
4930516K23Rik	0	0	0	0	0	0	0
4930518I15Rik	26	37	46	45	20	62	31
4930519F09Rik	0	0	0	0	0	0	0
4930519F16Rik	2	1	5	2	2	2	1
4930519G04Rik	5	4	3	11	3	4	1
4930519P11Rik	4	12	8	13	6	9	6
4930522H14Rik	0	0	0	0	0	0	0
4930522L14Rik	351	422	380	418	370	303	310
4930523C07Rik	218	440	303	433	270	202	335
4930524B15Rik	0	1	0	1	1	1	0
4930524J08Rik	33	24	26	22	33	26	27
4930524N10Rik	0	0	0	0	0	0	0
4930526A20Rik	53	68	95	82	72	76	80
4930529C04Rik	12	15	10	16	12	5	5
4930533K18Rik	0	0	2	0	1	1	0
4930533O14Rik	3524	3515	2634	3911	3221	3504	3355
4930535I16Rik	0	1	1	3	2	0	0
4930538K18Rik	3	8	7	6	5	10	2
4930539E08Rik	229	193	151	253	147	137	154
4930544D05Rik	0	0	0	0	1	0	0
4930544G11Rik	0	0	0	2	0	0	0
4930546C10Rik	0	0	0	0	0	0	0
4930548H24Rik	11	15	26	20	13	17	8
4930549C01Rik	0	0	0	1	1	0	1
4930550C14Rik	216	208	170	300	309	184	222
4930550L24Rik	0	0	0	1	1	0	0
4930553M12Rik	0	0	0	0	0	0	0
4930555G01Rik	0	0	0	0	0	0	0
4930555K19Rik	0	0	0	0	0	0	0
4930556J24Rik	3	4	10	10	6	4	6
4930557A04Rik	0	0	1	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0
4930558K02Rik	0	1	2	3	2	0	1
4930562C15Rik	12	22	24	30	18	37	17
4930563D23Rik	0	0	0	0	0	0	0
4930563I02Rik	6	5	6	7	7	3	9
4930563M21Rik	1	0	4	2	1	1	1
4930564D02Rik	0	0	0	0	0	0	0
4930567H17Rik	0	0	0	0	0	0	0
4930568D16Rik	1	0	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0
4930578C19Rik	35	35	53	38	18	26	30
4930578G10Rik	1	0	0	1	0	1	0
4930578I06Rik	0	0	0	0	0	0	1
4930579F01Rik	0	0	0	0	1	0	0
4930579G24Rik	105	84	67	96	72	82	106
4930583I09Rik	0	0	0	0	0	0	0
4930590J08Rik	24	24	26	25	25	22	22
4930595D18Rik	1	0	2	3	0	2	0
4930595M18Rik	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0
4931406B18Rik	11	5	10	10	10	7	9
4931406C07Rik	1984	2171	1560	2172	2154	1963	2174
4931406P16Rik	2547	2663	2468	2797	2286	2519	2405
4931408C20Rik	0	0	0	0	0	0	0
4931409K22Rik	8	10	3	6	4	6	9
4931414P19Rik	410	398	291	411	449	376	394
4931417E11Rik	0	0	0	0	0	0	0
4931422A03Rik	10	19	20	18	7	25	15
4931423N10Rik	3	4	7	6	5	3	7
4931428F04Rik	554	633	587	645	616	549	653
4931428L18Rik	3	7	6	5	4	10	4
4931429L15Rik	3	4	1	2	0	1	0
4931431F19Rik	0	0	0	0	0	0	0
4931440F15Rik	20	28	20	30	21	16	20
4931440P22Rik	55	72	89	73	48	69	59
4932411E22Rik	0	0	0	1	0	1	0
4932411N23Rik	8	5	12	6	15	10	10
4932414N04Rik	8	7	14	13	8	9	2
4932415D10Rik	8	1	4	4	5	7	0
4932416K20Rik	1	0	4	1	3	3	1
4932429P05Rik	0	0	0	0	0	0	0
4932431P20Rik	0	0	0	0	2	1	0
4932438A13Rik	4913	4138	6951	5961	6148	5512	5195
4932438H23Rik	6	7	9	9	7	9	13
4932443I19Rik	4	8	5	13	3	13	2
4933400A11Rik	0	0	1	0	2	1	0
4933401B06Rik	0	0	0	0	0	1	0
4933402D24Rik	1	0	5	1	1	0	3
4933402E13Rik	0	0	0	0	1	0	0
4933402J07Rik	0	0	0	1	0	0	0
4933402N03Rik	0	0	0	0	0	0	0
4933402N22Rik	0	0	0	0	0	0	0
4933402P03Rik	0	0	0	0	0	0	0
4933403O08Rik	0	0	0	0	0	0	0
4933405L10Rik	4	2	4	3	0	2	2
4933405O20Rik	2	2	4	1	1	0	0
4933406J08Rik	0	0	0	0	0	0	0
4933406M09Rik	0	0	0	0	0	0	0
4933406P04Rik	297	355	523	324	366	247	280
4933407L21Rik	1	4	5	3	4	4	2
4933408B17Rik	15	22	45	31	21	30	11
4933408J17Rik	14	12	7	7	10	7	12
4933409G03Rik	0	0	0	0	0	0	0
4933411G06Rik	0	0	1	1	0	1	0
4933411K16Rik	0	1	3	0	2	0	1
4933412A08Rik	74	99	151	95	58	193	97
4933412E24Rik	0	0	0	0	0	0	0
4933413G19Rik	0	0	0	1	3	4	0
4933414I15Rik	0	0	0	0	0	0	0
4933415A04Rik	2	2	0	0	3	1	1
4933415F23Rik	0	0	0	0	0	0	0
4933416C03Rik	0	0	0	0	0	0	0
4933416E14Rik	0	0	0	0	0	0	0
4933416I08Rik	0	0	0	0	0	0	0
4933417A18Rik	1	2	1	2	1	1	0
4933417G07Rik	1	0	1	0	1	0	0
4933421I07Rik	0	0	0	1	0	0	0
4933424G06Rik	1	6	2	0	2	5	3
4933425L06Rik	0	0	1	1	0	0	0
4933427D14Rik	621	702	612	790	653	741	551
4933427G17Rik	14	31	12	24	12	25	25
4933427G23Rik	47	36	25	40	22	37	31
4933427I04Rik	43	48	101	71	47	66	46
4933428G20Rik	4	9	4	6	6	6	3
4933428M09Rik	0	0	0	0	0	1	0
4933430I17Rik	21	29	22	24	16	15	12
4933434E20Rik	3599	3640	2773	3664	3483	3507	3394
4933436I01Rik	0	0	0	0	0	0	0
5031410I06Rik	0	0	0	0	0	0	0
5031414D18Rik	60	47	21	43	58	28	33
5031439G07Rik	3790	3617	2795	3532	3611	3612	4001
5033404E19Rik	0	0	0	0	0	0	0
5033423K11Rik	3	0	0	0	0	1	0
5330417C22Rik	16753	21595	15107	21169	17330	15413	16433
5330417H12Rik	0	0	0	0	0	0	0
5330438D12Rik	220	225	169	241	225	239	179
5430401F13Rik	0	0	0	0	0	0	0
5430402E10Rik	0	0	0	0	0	0	0
5430403G16Rik	340	393	369	400	438	284	328
5430416O09Rik	42	74	38	48	36	28	34
5430419D17Rik	7	7	3	2	2	14	4
5430427O19Rik	17	3	9	8	7	12	4
5530400C23Rik	0	0	0	0	0	0	0
5530401A14Rik	208	140	137	187	192	207	166
5730409E04Rik	1148	1350	908	1227	1047	999	1014
5730416F02Rik	0	1	0	1	0	0	0
5730455P16Rik	2695	2758	2371	3187	2729	2431	2771
5730480H06Rik	499	590	607	612	553	518	530
5730507C01Rik	99	81	84	96	96	107	76
5730508B09Rik	145	106	128	156	143	187	160
5730522E02Rik	16	14	13	13	11	8	9
5730559C18Rik	351	408	269	502	385	290	417
5730596B20Rik	1	1	1	3	0	1	0
5830411N06Rik	0	0	1	0	0	0	0
5830417I10Rik	1801	1637	1677	1970	1577	1971	1626
5830454E08Rik	146	134	111	139	158	124	150
5830473C10Rik	6	8	8	13	8	12	12
5930422O12Rik	1	2	2	1	0	3	0
6030419C18Rik	157	252	79	138	125	146	149
6030445D17Rik	2	2	3	5	4	2	5
