	GSM2705880	GSM2705881	GSM2705882	GSM2705883	GSM2705884	GSM2705885	GSM2705886	GSM2705887	GSM2705888	GSM2705889	GSM2705890	GSM2705891	GSM2705892	GSM2705893	GSM2705894
1700001L19Rik	1	4	5	1	4	1	16	2	1	1	3	5	0	2	2
1700001O22Rik	0	2	1	1	2	2	2	0	0	0	0	0	4	2	1
1700001P01Rik	1	3	0	5	3	2	3	0	2	3	1	0	2	1	1
1700003E16Rik	7	40	13	20	54	30	320	63	44	23	33	41	13	50	20
1700003F12Rik	1	0	2	2	5	0	2	0	0	0	0	0	0	6	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	1	1	1	4	0	0	1	0	0	1	1
1700007B14Rik	1	0	0	0	0	0	1	0	2	1	0	1	0	0	0
1700007E05Rik	4	0	0	4	3	3	13	3	7	4	2	3	3	5	1
1700007G11Rik	2	0	2	1	1	1	0	0	4	0	2	0	1	0	1
1700007K09Rik	0	0	0	1	1	0	3	0	0	0	2	0	0	2	0
1700007K13Rik	23	13	18	16	8	14	46	9	6	24	7	8	21	12	15
1700008O03Rik	12	17	13	9	13	24	47	4	7	14	4	8	11	6	24
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700010B08Rik	6	4	2	3	3	3	7	0	0	4	3	0	1	2	0
1700010I14Rik	44	39	32	31	52	54	140	53	80	47	53	59	77	74	31
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
1700011H14Rik	5	5	0	2	4	1	22	6	6	5	8	8	2	8	8
1700011I03Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	1	3	1	0	2	1	3	1	0	0	0	0	0	2
1700011M02Rik	0	0	2	0	4	3	6	2	1	0	1	0	0	0	1
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	1	1	2	0	0	0	0	3	0	0	0
1700012L04Rik	0	3	2	2	0	0	0	0	0	5	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
1700013F07Rik	26	27	22	33	25	30	77	17	38	27	13	17	9	21	9
1700013G24Rik	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	3	2	0	0	5	4	13	6	2	6	1	1	1	4	5
1700015E13Rik	1	3	2	1	3	2	13	4	2	1	2	5	2	10	1
1700015F17Rik	2	0	0	3	2	0	6	0	3	0	1	0	0	1	1
1700015G11Rik	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1
1700016C15Rik	0	0	1	1	0	0	7	1	3	0	2	2	1	2	0
1700016D06Rik	10	11	13	16	15	14	25	9	14	8	13	23	11	15	13
1700016H13Rik	3	4	1	3	2	2	1	1	3	0	5	0	2	1	4
1700016K19Rik	13	23	15	11	8	10	18	16	14	28	22	13	13	14	3
1700017B05Rik	175	208	153	137	288	225	1030	156	109	114	88	233	82	161	232
1700017D01Rik	1	1	0	0	1	1	4	0	0	4	3	5	5	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4
1700019A02Rik	0	0	0	0	0	0	2	4	1	1	2	0	0	1	0
1700019B03Rik	0	4	2	2	1	6	5	0	2	0	1	4	0	3	0
1700019D03Rik	1771	1534	1454	1818	1369	1298	1912	959	1124	1375	952	574	1114	1174	1503
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	1	1	1	1	2	0	2	0	1	1	0	1	0	0	0
1700020D05Rik	36	25	29	33	53	38	76	47	34	21	23	20	25	29	46
1700020L24Rik	4	10	6	3	7	1	5	9	4	3	5	5	4	3	5
1700020N01Rik	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
1700021F05Rik	374	345	238	251	245	262	689	194	361	432	307	392	358	323	157
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	7	3	2	6	1	6	6	8	7	5	3	8	8	7	5
1700023F06Rik	31	68	24	29	53	45	290	38	30	49	42	32	46	68	47
1700024B05Rik	1	1	0	0	0	1	3	0	1	2	1	0	1	0	3
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	6	8	5	8	8	6	23	3	7	16	7	20	8	16	4
1700024P04Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	5	2	0	4	3	7	10	7	8	0	1	3	0	2	1
1700025B11Rik	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1700025C18Rik	7	5	4	5	6	11	11	1	12	1	2	6	11	7	3
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	169	229	192	209	278	199	1051	192	206	153	203	360	144	244	149
1700028B04Rik	6	7	9	5	12	8	19	1	3	4	4	7	6	7	13
1700028J19Rik	13	10	11	10	14	11	46	19	7	13	7	5	3	5	16
1700028K03Rik	21	19	24	18	19	34	23	5	16	32	8	4	29	6	15
1700028P14Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
1700029F12Rik	3	2	2	3	5	6	10	0	0	1	2	0	0	1	1
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	38	48	24	26	57	75	74	32	31	30	20	34	26	34	33
1700029J07Rik	330	309	207	258	282	360	793	234	346	306	213	270	319	374	229
1700029P11Rik	0	0	1	1	0	1	2	1	0	0	0	2	0	1	0
1700030C10Rik	12	12	18	22	40	17	94	71	27	51	21	27	42	16	144
1700030J22Rik	18	32	20	29	41	39	166	41	19	24	19	40	27	31	32
1700030K09Rik	312	326	214	252	326	350	843	302	232	191	174	177	180	226	222
1700031F05Rik	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	1	2	4	2	4	5	16	4	6	9	3	19	9	12	4
1700034J05Rik	1	2	2	4	2	4	0	0	0	2	0	3	0	0	1
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	137	177	125	146	132	161	278	140	124	122	111	109	72	126	84
1700037H04Rik	207	235	142	145	219	220	794	314	132	125	114	160	102	160	162
1700039E15Rik	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	59	82	51	78	67	53	146	37	76	105	51	53	96	64	59
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	145	206	119	165	208	193	1608	453	891	687	855	1165	594	1000	203
1700048O20Rik	18	27	12	18	27	20	68	43	17	26	31	27	10	17	16
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700049E17Rik2	0	3	0	0	1	0	2	0	0	0	0	0	1	0	0
1700049G17Rik	463	441	356	441	491	378	1076	375	405	409	289	371	279	314	347
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	24	30	19	33	34	40	89	36	41	54	26	41	33	40	40
1700057G04Rik	9	4	8	5	11	7	10	8	6	3	1	5	4	4	1
1700061G19Rik	11	6	14	19	23	20	30	24	10	13	12	14	8	6	17
1700063K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	1	2	2	1	2	12	0	2	0	4	3	3	4	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	21	17	9	18	18	22	42	19	14	10	6	9	9	9	9
1700066M21Rik	276	319	164	207	172	163	643	299	210	227	172	193	157	151	196
1700067K01Rik	10	19	5	12	19	15	29	22	14	8	10	8	11	12	12
1700067P10Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700073E17Rik	1	2	2	2	6	0	2	1	3	3	0	2	0	1	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	1	1	2	2	0	8	2	1	0	0	0	0	2	1
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	4	0	0	0	2	0	4	0	4	0	2	4	2	0
1700086L19Rik	1928	1280	1507	1509	1124	557	1101	538	724	1665	686	455	1274	840	966
1700088E04Rik	185	203	132	127	146	155	337	204	153	176	96	150	140	133	99
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	4	4	5	1	4	9	11	2	6	10	7	6	5	8	3
1700093K21Rik	22	23	12	12	24	39	93	34	26	16	18	34	18	16	10
1700102P08Rik	13	15	10	15	14	24	25	15	11	9	16	16	19	23	7
1700109H08Rik	99	68	70	85	122	100	290	124	79	98	53	114	64	113	69
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	13	23	12	9	14	18	111	49	16	7	13	28	4	9	2
1700113H08Rik	2	4	1	0	3	0	6	2	0	0	1	0	2	0	1
1700122O11Rik	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0
1700123I01Rik	0	0	4	2	2	2	12	0	0	4	0	0	2	0	0
1700123K08Rik	0	0	1	0	0	4	2	0	0	1	0	0	0	3	2
1700123L14Rik	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0
1700123O20Rik	559	546	406	437	443	395	1063	363	317	380	333	260	275	268	290
1700125H20Rik	1	2	1	0	0	2	8	0	1	1	2	0	0	0	0
1700128F08Rik	20	17	16	22	32	15	67	48	20	19	16	25	21	30	5
1700129C05Rik	0	0	0	0	0	1	0	0	0	3	1	1	1	1	0
1810009A15Rik	298	301	205	210	262	249	619	113	338	324	250	349	249	258	47
1810009J06Rik	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3
1810010H24Rik	126	159	96	117	104	137	441	169	122	113	109	129	107	110	133
1810011H11Rik	3	3	5	5	8	5	22	5	2	1	2	6	4	0	3
1810011O10Rik	181	187	110	185	259	154	617	182	162	141	159	248	158	170	125
1810013L24Rik	1108	1324	895	1266	1318	1265	4874	1455	1356	1187	1131	1385	995	1333	1532
1810018F18Rik	3	0	3	1	3	3	5	2	3	4	0	2	3	2	1
1810022K09Rik	892	901	534	666	477	506	1329	440	845	713	671	598	608	561	453
1810024B03Rik	80	85	39	61	71	58	238	48	67	37	33	45	38	64	28
1810026J23Rik	1496	1675	1100	1603	1790	1650	4149	1565	1259	1245	1261	1331	952	1514	1253
1810030O07Rik	1114	1198	790	1084	1143	1107	3195	1044	938	865	830	868	735	924	893
1810032O08Rik	104	94	61	71	83	109	158	85	52	57	36	39	30	47	74
1810037I17Rik	1504	1618	1049	1250	1156	1349	4586	1599	1696	1624	1186	1245	1186	1248	1030
1810041L15Rik	458	484	428	308	399	250	682	344	151	196	175	205	132	201	246
1810043G02Rik	816	891	595	640	827	828	2167	659	714	570	491	473	531	750	726
1810043H04Rik	174	198	105	110	133	141	447	250	217	150	126	131	103	127	112
1810046K07Rik	1	1	0	1	0	0	5	0	0	0	1	0	1	0	0
1810049J17Rik	5	4	3	6	7	6	174	96	23	53	10	27	16	25	29
1810055G02Rik	137	138	112	147	239	213	658	113	128	132	130	172	118	195	152
1810062G17Rik	126	99	87	149	99	111	221	57	72	137	48	37	119	79	148
1810065E05Rik	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
2010001K21Rik	1	0	2	0	0	0	5	0	0	1	0	0	3	2	1
2010003K11Rik	2	0	1	1	0	0	1	0	0	0	1	0	0	0	2
2010005H15Rik	4	3	0	8	2	0	8	0	5	4	2	6	5	0	1
2010010A06Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2010106E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	1486	1426	941	1135	799	923	1706	829	859	835	541	450	580	504	704
2010107G12Rik	61	28	46	52	58	64	70	27	25	35	16	15	15	39	83
2010107G23Rik	679	1676	268	310	1198	1079	3275	985	1133	344	870	1144	264	1131	209
2010109A12Rik	9	10	7	21	6	11	34	5	18	13	6	9	16	13	11
2010109I03Rik	30	34	28	23	37	38	191	49	34	36	24	42	37	26	36
2010111I01Rik	1691	1494	1000	1303	1427	1669	2762	1175	1273	1303	1132	835	1069	1509	1345
2010300C02Rik	236	340	229	251	606	388	1060	206	238	257	168	284	194	353	303
2010315B03Rik	306	347	259	346	280	279	964	360	324	331	245	351	286	309	284
2200002D01Rik	6	9	3	4	4	4	86	18	19	6	15	78	3	13	11
2200002J24Rik	82	65	54	62	64	80	25	13	20	23	18	4	8	13	27
2210010C04Rik	3707	4407	1703	1133	3549	486	2959	142	405	714	231	387	147	462	233
2210011C24Rik	9	6	3	9	9	5	23	24	7	14	8	9	7	17	9
2210013O21Rik	687	758	454	600	657	636	1713	641	341	341	284	316	300	284	534
2210016F16Rik	913	1065	697	951	940	1020	2636	1089	833	915	794	805	641	883	806
2210016L21Rik	978	1114	770	931	1213	1359	3262	1059	1328	1226	1040	1033	976	1481	869
2210017I01Rik	12	6	4	0	7	3	9	5	11	3	3	11	16	6	3
2210404O09Rik	235	273	152	184	167	160	786	266	279	228	206	256	207	238	175
2210407C18Rik	0	1	0	1	1	1	5	0	0	0	1	3	0	0	0
2210408I21Rik	293	363	243	318	327	235	1156	361	402	271	227	268	201	267	228
2210409E12Rik	0	0	0	0	0	3	6	0	0	0	0	0	0	0	3
2210418O10Rik	594	452	355	385	352	447	936	327	477	442	345	367	503	562	315
2300002M23Rik	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2300009A05Rik	336	368	204	267	246	236	1301	444	363	387	256	220	281	309	497
2310002L09Rik	2	1	1	0	0	0	0	0	0	2	0	2	0	0	1
2310003L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310007B03Rik	0	0	0	1	0	0	16	0	0	0	0	2	0	0	2
2310009B15Rik	107	137	86	87	102	112	616	250	149	155	98	156	138	147	147
2310011J03Rik	438	592	365	422	579	529	1091	367	227	193	192	184	165	248	262
2310022A10Rik	290	378	260	294	519	424	1268	347	274	229	251	260	218	353	362
2310022B05Rik	1358	1681	1147	1570	2336	1997	5018	1054	1195	1054	1082	808	861	1937	2087
2310030G06Rik	868	798	578	855	684	654	1648	443	683	777	470	465	608	621	366
2310033P09Rik	239	282	142	186	238	275	1272	385	738	631	559	781	554	733	213
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	69	89	63	83	77	71	295	92	90	96	53	79	75	85	96
2310035C23Rik	1377	1402	964	1208	1541	1280	4709	1473	1124	1076	947	1147	842	1253	1454
2310036O22Rik	974	994	637	882	922	943	5030	1928	2167	2216	1679	2156	1815	2161	1297
2310039H08Rik	257	277	203	242	220	234	1026	546	369	394	243	194	300	279	387
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2310057M21Rik	379	329	268	337	384	338	1148	451	418	405	316	394	292	418	377
2310057N15Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
2310061I04Rik	486	525	326	456	570	734	1611	488	384	344	312	375	297	531	508
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	1509	1375	909	1029	1399	1448	3802	1412	1104	1074	880	1103	939	1252	1195
2410004B18Rik	308	289	197	265	229	235	936	275	425	386	280	345	308	358	252
2410004P03Rik	25	28	25	21	28	33	78	38	34	32	33	54	20	50	13
2410015M20Rik	1948	1945	1343	1437	1202	1306	1994	664	1656	1568	1151	980	1266	1120	480
2410016O06Rik	131	128	91	107	155	130	387	132	93	108	67	92	57	110	116
2410024N13Rik	4	1	2	0	11	1	3	0	0	0	0	0	0	4	0
2410089E03Rik	835	1016	868	851	1884	1151	5458	1539	1334	1063	1277	1568	950	1932	1331
2410131K14Rik	550	676	433	480	758	585	1538	524	452	395	397	394	333	536	585
2410137M14Rik	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
2410141K09Rik	11	11	6	10	7	9	23	10	9	3	0	4	3	5	7
2510002D24Rik	369	454	242	345	357	384	1192	456	472	401	402	417	353	451	263
2510009E07Rik	1298	1717	1166	1492	2131	1611	6193	1516	1274	1390	1044	1413	1155	1453	1921
2510039O18Rik	697	992	633	696	1179	1192	4254	1061	832	722	758	788	569	1115	1172
2610001J05Rik	1544	1253	877	1102	887	949	2111	963	685	701	528	452	545	527	692
2610002M06Rik	792	857	651	855	941	788	2873	708	747	917	714	909	766	786	884
2610005L07Rik	1396	1166	1130	1080	1644	1208	3603	1642	1549	1399	1324	1819	1197	1770	871
2610008E11Rik	1145	1106	780	1013	935	900	2711	861	980	907	777	910	780	860	741
2610020H08Rik	129	156	106	109	145	122	322	112	86	101	69	107	72	108	89
2610021A01Rik	523	512	422	456	529	412	1447	387	502	646	428	477	381	508	400
2610024D14Rik	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0
2610028H24Rik	6	10	3	4	13	6	14	4	3	5	4	4	13	4	5
2610042L04Rik	3	0	1	2	3	1	0	6	1	0	0	7	0	1	6
2610044O15Rik8	627	643	450	589	571	591	1403	449	534	458	374	562	421	428	342
2610301B20Rik	679	695	472	636	590	627	2060	622	632	581	449	459	439	600	634
2610305D13Rik	116	100	91	137	75	69	451	162	148	168	130	152	154	119	189
2610318N02Rik	13	25	14	12	26	23	35	44	23	10	14	22	6	23	10
2610507B11Rik	4057	4729	4217	4849	7623	5422	16272	3706	4261	3930	3953	4068	3415	5308	4789
2610524H06Rik	543	544	345	558	443	469	1372	620	506	597	352	407	418	415	452
2610528A11Rik	1	2	2	3	5	2	28	0	0	0	0	8	1	1	2
2610528J11Rik	32	35	23	21	46	41	137	34	12	7	12	16	8	10	16
2700029M09Rik	806	756	543	615	565	571	1718	670	790	730	634	812	628	678	410
2700049A03Rik	402	348	325	366	525	409	1327	389	452	505	376	450	456	477	416
2700060E02Rik	2694	2560	1694	1880	1567	1659	5175	1234	2031	2084	1657	1765	1590	1546	1045
2700062C07Rik	390	358	227	316	310	354	925	294	369	286	213	250	257	287	264
2700081O15Rik	304	424	272	318	532	472	2020	531	385	268	340	470	234	502	312
2700094K13Rik	247	346	156	172	195	211	876	373	294	279	219	217	171	298	161
2700097O09Rik	274	307	198	243	278	323	732	335	183	195	130	197	150	192	244
2700099C18Rik	20	27	25	22	29	26	121	24	15	10	16	30	18	23	23
2810004N23Rik	350	344	288	330	406	299	1159	313	592	640	529	610	550	591	308
2810006K23Rik	307	324	247	335	306	294	832	215	289	278	228	221	219	268	227
2810021J22Rik	454	439	393	511	530	461	1180	391	564	495	446	485	384	576	362
2810025M15Rik	331	309	198	222	229	216	552	128	213	226	139	132	127	194	115
2810039B14Rik	62	70	56	47	71	59	206	91	54	24	38	67	25	37	45
2810047C21Rik1	29	31	17	42	18	40	67	15	31	24	13	60	12	7	27
2810403A07Rik	2597	2427	1540	2077	2450	2980	5174	1988	1885	1729	1422	1745	1577	2085	2100
2810408A11Rik	6	15	11	8	16	10	52	7	14	9	11	14	13	6	5
2810417H13Rik	97	100	37	78	80	73	445	100	56	67	42	215	49	59	49
2810428I15Rik	266	333	206	241	281	311	1311	706	758	776	518	544	483	462	362
2810459M11Rik	1	0	1	0	2	3	8	3	5	0	2	3	4	2	0
2810474O19Rik	599	580	540	666	839	750	3493	776	1001	874	1014	1319	746	1003	979
2900011O08Rik	1	8	2	1	13	7	76	34	15	9	21	3	10	7	13
2900026A02Rik	1479	1757	1736	1770	3412	2064	6179	1457	1653	1333	1465	1342	1292	2640	2848
2900055J20Rik	0	0	3	3	1	0	1	0	0	2	0	1	4	0	2
2900092C05Rik	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0
3000002C10Rik	233	212	142	207	227	268	424	196	138	109	110	118	92	130	170
3010026O09Rik	48	49	32	31	46	50	173	75	72	47	28	71	56	44	22
3100002H09Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3110001I22Rik	57	44	37	47	48	38	167	48	40	50	35	42	36	25	35
3110002H16Rik	834	828	543	690	878	819	2104	827	577	624	485	611	492	597	694
3110009E18Rik	64	50	38	58	50	58	140	54	58	58	48	25	76	39	40
3110018I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110021N24Rik	5	2	5	4	6	3	15	11	7	10	6	7	2	6	1
3110035E14Rik	0	1	0	1	1	1	5	1	2	0	3	0	2	0	0
3110040N11Rik	457	426	292	319	306	302	729	307	421	425	264	326	338	373	255
3110043O21Rik	965	845	667	696	645	615	1892	650	611	665	516	586	508	506	543
3110052M02Rik	344	380	288	348	355	338	636	246	199	245	200	185	144	175	275
3110053B16Rik	27	46	31	33	49	39	156	56	19	12	12	29	13	25	21
3110062M04Rik	79	135	85	104	119	127	496	176	107	120	108	96	96	150	94
3110067C02Rik	5	5	4	5	7	9	28	8	7	4	2	6	7	5	5
3110070M22Rik	43	40	22	50	46	58	120	46	32	23	31	28	25	35	19
3110079O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110082I17Rik	262	208	166	207	194	142	509	180	428	494	288	298	362	386	140
3110082J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300002I08Rik	37	43	48	38	53	43	96	46	31	27	32	31	31	20	32
