	GSM4391955	GSM4391956	GSM4391957	GSM4391958	GSM4391959	GSM4391961	GSM4391962
3110035E14Rik	29	96	18	28	22	69	20
3110040N11Rik	301	133	110	178	183	202	107
3110043O21Rik	107	82	10	37	32	32	33
3110052M02Rik	13	12	28	3	2	0	15
3110053B16Rik	30	0	5	20	6	0	14
3110062M04Rik	20	37	0	15	30	56	20
3110067C02Rik	2	0	0	5	0	0	0
3110070M22Rik	16	21	3	37	27	2	28
3110079O15Rik	0	0	14	0	7	0	24
3110082I17Rik	59	96	48	81	71	110	72
3110082J24Rik	1	15	11	9	7	5	13
3300002I08Rik	0	0	11	0	13	7	16
3425401B19Rik	0	0	1	0	0	1	0
3632451O06Rik	119	122	79	104	77	102	39
3830403N18Rik	0	0	15	0	0	0	0
3830406C13Rik	89	53	39	20	117	8	43
3830408C21Rik	1	0	9	0	1	0	0
3830417A13Rik	0	0	0	0	0	0	0
4430402I18Rik	27	24	11	0	24	35	9
4833418N17Rik	0	0	0	0	0	0	0
4833420G17Rik	66	112	90	85	43	26	125
4833423E24Rik	16	15	16	2	0	0	28
4833427G06Rik	0	1	8	13	13	0	7
4833439L19Rik	398	312	116	495	350	188	272
4921501E09Rik	0	0	0	0	0	0	0
4921504E06Rik	0	0	0	0	0	0	0
4921507P07Rik	0	0	0	0	3	11	0
4921508M14Rik	0	0	0	0	0	0	7
4921509C19Rik	0	0	0	0	0	0	0
4921511C20Rik	0	0	0	0	0	0	0
4921511H03Rik	0	12	0	0	0	0	0
4921511M17Rik	0	0	0	0	0	0	0
4921513D11Rik	0	0	0	0	0	0	0
4921513I03Rik	0	0	0	0	0	0	0
4921517D22Rik	0	0	0	0	0	0	0
4921524J17Rik	69	76	28	44	27	18	41
4921524L21Rik	0	0	0	0	0	0	0
4921528I07Rik	0	0	0	0	0	0	0
4921530L21Rik	0	0	0	0	0	0	0
4921536K21Rik	9	0	0	0	7	0	0
4921539E11Rik	0	0	0	0	0	0	0
4922502D21Rik	0	0	0	0	0	0	0
4930402F06Rik	0	0	0	0	0	0	0
4930402H24Rik	99	113	73	79	37	122	67
4930402K13Rik	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	0	0	0	0
4930404N11Rik	0	0	0	0	0	0	2
4930407I10Rik	0	0	0	0	0	0	0
4930408O17Rik	0	0	0	0	10	2	0
4930412O13Rik	0	0	0	0	0	0	0
4930415F15Rik	0	0	0	3	0	0	0
4930415H17Rik	0	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0	0
4930415O20Rik	0	0	0	0	0	0	0
4930421P07Rik	0	0	0	0	0	0	0
4930426L09Rik	0	0	0	0	0	0	0
4930427A07Rik	0	0	0	0	0	0	11
4930430A15Rik	0	0	0	0	0	0	0
4930430F08Rik	61	49	16	35	56	81	37
4930431P19Rik	5	16	1	23	5	19	20
4930432E11Rik	1	0	0	0	0	0	3
4930432K21Rik	1	0	0	0	0	0	0
4930432M17Rik	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0
4930435E12Rik	0	0	0	0	0	0	0
4930438A08Rik	2	0	0	0	0	0	0
4930442H23Rik	0	0	0	0	0	1	0
4930444G20Rik	0	0	0	0	0	0	0
4930444P10Rik	17	11	0	0	25	8	20
4930447A16Rik	0	0	0	0	0	0	0
4930447C04Rik	21	8	5	36	21	1	37
4930447F04Rik	0	0	0	0	0	0	0
4930448K20Rik	0	0	0	0	0	0	0
4930449A18Rik	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0
4930451G09Rik	2	0	0	0	0	0	7
4930451I11Rik	0	0	0	0	0	0	0
4930452B06Rik	9	23	4	36	4	2	0
4930453N24Rik	78	77	48	82	65	73	28
4930455H04Rik	0	0	0	0	0	0	0
4930465K10Rik	3	0	0	0	0	0	0
4930467E23Rik	0	0	0	0	0	0	0
4930469B13Rik	0	9	0	0	0	0	0
4930470P17Rik	0	0	0	0	0	0	0
4930474N05Rik	0	0	0	0	0	0	0
4930480E11Rik	0	0	0	0	0	0	0
4930486L24Rik	0	0	0	0	0	0	0
4930488N24Rik	0	0	0	0	0	0	0
4930502E18Rik	0	0	0	0	0	0	0
4930503B20Rik	0	0	0	0	0	0	0
4930503E14Rik	0	0	0	0	0	0	0
4930503H13Rik	0	0	0	0	0	0	0
4930503L19Rik	8	25	13	27	0	0	8
4930504O13Rik	0	0	0	0	0	0	0
4930505A04Rik	0	0	0	7	1	0	5
4930507D05Rik	0	0	0	1	0	0	0
4930512M02Rik	0	1	1	0	0	0	0
4930513O06Rik	0	0	0	0	0	0	0
4930515G13Rik	0	0	0	0	0	0	0
4930515G16Rik	0	0	0	0	0	0	0
4930516K23Rik	0	0	0	0	0	0	0
4930518I15Rik	0	0	0	0	4	0	0
4930519F09Rik	0	0	0	0	0	0	0
4930519F16Rik	0	5	0	0	0	0	20
4930519G04Rik	5	6	0	0	7	12	5
4930519P11Rik	0	0	0	0	0	0	0
4930522H14Rik	0	0	0	0	0	0	0
4930522L14Rik	49	34	3	2	42	33	1
4930523C07Rik	3	1	11	3	10	14	23
4930524B15Rik	4	0	0	0	1	0	1
4930524J08Rik	12	41	5	0	6	20	0
4930524N10Rik	0	0	0	0	0	0	0
4930526A20Rik	1	0	0	0	5	0	1
4930529C04Rik	1	0	0	0	0	0	1
4930533K18Rik	0	0	0	0	0	0	0
4930533O14Rik	18	16	5	1	14	22	24
4930535I16Rik	0	0	0	0	0	0	0
4930538K18Rik	0	0	0	0	4	0	0
4930539E08Rik	7	20	0	18	0	50	0
4930544D05Rik	0	0	0	0	0	0	0
4930544G11Rik	0	0	0	0	0	0	0
4930546C10Rik	0	0	0	0	0	0	0
4930548H24Rik	0	11	0	6	25	38	11
4930549C01Rik	0	0	0	0	0	0	0
4930550C14Rik	16	0	0	0	8	0	0
4930550L24Rik	0	0	0	0	0	0	0
4930553M12Rik	0	0	0	0	0	0	0
4930555G01Rik	0	0	0	0	0	0	0
4930555K19Rik	0	0	0	0	0	0	0
4930556J24Rik	0	0	0	0	0	0	0
4930557A04Rik	0	0	0	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0
4930558K02Rik	0	0	0	0	0	0	0
4930562C15Rik	0	0	0	1	0	0	0
4930563D23Rik	0	0	0	0	0	0	0
4930563I02Rik	0	0	0	0	14	0	0
4930563M21Rik	0	0	0	0	0	0	0
4930564D02Rik	0	0	0	0	0	0	0
4930567H17Rik	0	0	0	0	0	0	0
4930568D16Rik	0	0	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0
4930578C19Rik	0	0	0	0	0	0	0
4930578G10Rik	0	4	0	0	2	0	0
4930578I06Rik	0	0	0	0	0	0	0
4930579F01Rik	0	0	0	0	0	0	0
4930579G24Rik	9	0	0	0	2	0	16
4930583I09Rik	0	0	0	0	0	0	0
4930590J08Rik	1	0	0	0	0	0	0
4930595D18Rik	0	0	0	0	0	0	0
4930595M18Rik	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0
4931406B18Rik	0	9	0	1	0	0	6
4931406C07Rik	38	13	9	12	12	53	45
4931406P16Rik	57	54	17	36	45	19	12
4931408C20Rik	0	0	0	0	0	0	0
4931409K22Rik	0	0	0	0	0	0	0
4931414P19Rik	0	0	0	2	0	18	0
4931417E11Rik	0	0	0	0	0	0	0
4931422A03Rik	1	0	0	7	0	0	0
4931423N10Rik	0	0	0	0	0	0	0
4931428F04Rik	12	14	0	2	0	0	12
4931428L18Rik	0	0	0	0	0	0	0
4931429L15Rik	0	0	0	7	0	0	0
4931431F19Rik	0	0	0	0	0	0	0
4931440F15Rik	0	4	0	23	0	8	0
4931440P22Rik	6	10	0	13	0	1	1
4932411E22Rik	0	11	0	0	0	12	0
4932411N23Rik	43	89	3	177	102	8	61
4932414N04Rik	8	0	0	8	1	0	18
4932415D10Rik	0	0	0	0	0	0	0
4932416K20Rik	1	0	0	0	0	0	2
4932429P05Rik	0	0	0	0	0	0	0
4932431P20Rik	1	0	0	0	0	0	0
4932438A13Rik	252	137	188	151	127	138	119
4932438H23Rik	18	40	71	28	32	1	30
4932443I19Rik	20	19	5	0	8	20	22
4933400A11Rik	0	0	0	0	0	0	0
4933401B06Rik	0	0	0	0	0	0	0
4933402D24Rik	0	0	0	0	15	0	0
4933402E13Rik	0	0	0	0	0	0	0
4933402J07Rik	0	0	0	0	0	0	0
4933402N03Rik	1	0	0	0	0	0	0
4933402N22Rik	0	0	0	0	0	0	0
4933402P03Rik	0	0	0	0	0	0	0
4933403O08Rik	0	0	0	0	0	0	0
4933405L10Rik	2	3	0	0	13	0	0
4933405O20Rik	0	0	0	0	0	0	0
4933406J08Rik	0	0	0	0	0	0	0
4933406M09Rik	0	0	0	0	0	0	0
4933406P04Rik	0	0	11	0	0	0	2
4933407L21Rik	63	76	36	68	46	44	56
4933408B17Rik	0	1	0	0	0	0	0
4933408J17Rik	0	0	0	0	0	0	0
4933409G03Rik	0	0	0	0	0	0	0
4933411G06Rik	0	0	0	0	0	0	0
4933411K16Rik	0	0	0	0	0	0	0
4933412A08Rik	0	14	10	1	0	12	20
4933412E24Rik	0	0	0	0	0	0	0
4933413G19Rik	9	0	0	0	0	12	9
4933414I15Rik	0	0	0	0	0	0	0
4933415A04Rik	1	0	0	0	0	5	1
4933415F23Rik	0	0	0	0	0	0	0
4933416C03Rik	0	0	0	0	0	0	0
4933416E14Rik	0	0	0	0	0	0	7
4933416I08Rik	7	0	0	0	0	0	0
4933417A18Rik	0	0	0	0	0	0	0
4933417G07Rik	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0
4933424G06Rik	13	22	0	9	7	0	0
4933425L06Rik	0	0	0	0	0	0	0
4933427D14Rik	84	36	28	52	27	55	77
4933427G17Rik	0	8	0	15	0	9	0
4933427G23Rik	0	11	0	0	0	11	5
4933427I04Rik	0	1	5	0	1	0	0
4933428G20Rik	0	0	0	0	0	0	0
4933428M09Rik	0	0	0	0	0	0	0
4933430I17Rik	0	0	0	0	0	0	0
4933434E20Rik	350	350	270	333	332	420	231
4933436I01Rik	0	0	0	0	0	0	0
5031410I06Rik	1	0	0	0	0	0	0
5031414D18Rik	0	20	0	0	0	0	0
5031439G07Rik	105	130	63	152	88	126	66
5033404E19Rik	0	6	0	0	1	0	0
5033423K11Rik	0	0	0	0	0	0	0
5330417C22Rik	45	107	74	52	26	87	123
5330417H12Rik	0	0	0	0	0	0	0
5330438D12Rik	22	95	3	28	11	14	24
5430401F13Rik	0	0	0	0	0	0	0
5430402E10Rik	0	0	0	0	0	0	0
5430403G16Rik	27	22	18	4	25	1	22
5430416O09Rik	6	0	0	4	0	1	0
5430419D17Rik	0	0	0	0	0	0	0
5430427O19Rik	14	0	1	0	0	0	3
5530400C23Rik	0	0	0	0	0	0	0
5530401A14Rik	23	1	6	0	0	0	0
5730409E04Rik	67	109	112	164	82	93	99
5730416F02Rik	0	0	0	0	0	0	0
5730455P16Rik	172	100	47	39	85	47	97
5730480H06Rik	49	29	4	46	2	39	86
5730507C01Rik	0	0	0	1	0	0	0
5730508B09Rik	0	1	0	0	0	14	0
5730522E02Rik	17	13	6	9	0	6	0
5730559C18Rik	1	9	0	0	1	13	5
5730596B20Rik	0	0	0	0	0	1	0
5830411N06Rik	0	0	0	0	0	0	0
5830417I10Rik	88	126	42	121	78	97	82
5830454E08Rik	37	52	11	5	14	9	22
5830473C10Rik	0	15	2	0	0	0	0
5930422O12Rik	0	0	0	0	0	0	0
6030419C18Rik	12	0	0	2	0	1	7
6030445D17Rik	0	0	0	1	0	0	0
6030452D12Rik	0	0	0	0	0	0	0
6030458C11Rik	18	12	17	24	25	51	2
6030468B19Rik	0	0	0	0	8	0	0
6030469F06Rik	0	0	0	0	0	0	0
6030498E09Rik	0	0	0	0	0	0	9
6330403A02Rik	98	38	15	30	11	89	15
6330408A02Rik	1	6	6	28	38	0	12
6330409D20Rik	6	4	2	29	2	17	1
6330416G13Rik	23	42	49	39	6	24	14
6330549D23Rik	1	0	0	0	10	0	0
6430531B16Rik	3	0	10	0	6	6	1
6430548M08Rik	260	209	138	184	95	201	100
6430550D23Rik	6	1	0	13	0	0	21
6430571L13Rik	3	1	4	0	0	0	0
6430573F11Rik	14	23	31	33	10	7	26
6430628N08Rik	28	0	2	29	16	21	50
6720489N17Rik	15	2	12	4	12	25	20
6820408C15Rik	18	0	1	5	45	28	6
6820431F20Rik	183	112	56	50	62	104	61
7420426K07Rik	0	0	0	0	0	0	0
