	GSM2670763	GSM2670764	GSM2670765	GSM2670766	GSM2670767	GSM2670768	GSM2670769	GSM2670770	GSM2670771	GSM2670772	GSM2670773	GSM2670774	GSM2670775	GSM2670776	GSM2670777	GSM2670778	GSM2670779	GSM2670780	GSM2670781
1500009L16Rik	1	1	4	0	0	0	0	0	58	66	0	1	0	0	0	0	0	0	0
1500011B03Rik	62	50	27	55	39	109	64	0	25	195	0	0	54	0	0	27	18	50	13
1500011K16Rik	177	317	258	405	94	387	175	165	88	248	195	93	255	65	21	34	37	3	57
1500015O10Rik	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1520401A03Rik	2	2	2	0	0	10	0	0	0	1	0	3	19	0	0	0	0	0	0
1600002H07Rik	84	81	74	71	20	238	46	27	96	63	22	1	9	0	17	14	19	40	2
1600002K03Rik	8	7	24	10	1	13	0	20	0	22	93	0	16	0	0	6	0	0	2
1600012H06Rik	131	160	177	229	76	254	128	30	108	159	166	38	123	116	16	77	8	104	74
1600014C10Rik	128	129	101	146	50	296	201	236	238	176	6	75	14	1	11	58	23	25	36
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1600029O15Rik	54	40	48	26	14	79	16	31	103	27	88	87	109	191	19	29	35	12	33
1700001C02Rik	0	0	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0
1700001C19Rik	4	11	3	9	4	26	15	8	5	7	9	6	8	0	1	0	9	2	2
1700001F09Rik	0	0	0	0	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	14	7	3	1	2	8	1	3	0	4	0	2	8	0	24	8	28	0	4
1700001K19Rik	5	10	1	3	2	1	1	2	55	0	0	1	3	0	1	1	32	0	1
1700001L19Rik	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
1700001O22Rik	1	0	0	10	1	11	0	0	0	0	0	0	0	1	0	0	0	0	0
1700001P01Rik	0	1	12	2	2	18	1	0	0	0	0	7	3	0	0	0	0	0	1
1700003E16Rik	2	4	0	1	5	8	0	0	0	1	0	0	0	0	0	3	0	2	0
1700003F12Rik	4	4	3	1	2	6	0	0	0	2	0	0	0	19	0	0	16	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0
1700006A11Rik	1	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0
1700007E05Rik	36	9	28	42	23	47	36	10	0	22	22	18	92	17	1	16	19	6	10
1700007G11Rik	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K09Rik	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
1700007K13Rik	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
1700008O03Rik	30	88	22	38	19	78	45	29	18	20	19	16	41	8	0	8	54	16	22
1700008P02Rik	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	7	0	0	0	0	0	0	0	0	17	3	0	0	1	1	1	9
1700010I14Rik	18	14	25	4	20	33	8	0	0	38	0	0	1	0	1	10	14	0	1
1700010N08Rik	0	1	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1700011E24Rik	1	3	2	0	1	0	0	0	24	5	6	0	5	0	0	2	0	0	5
1700011H14Rik	2	0	0	6	0	1	0	20	0	1	0	0	0	0	0	4	0	0	0
1700011I03Rik	0	0	1	0	1	2	0	0	37	0	0	2	0	0	0	0	1	0	0
1700011L22Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	6	6	3	5	0	0	9	0	0	9	0	0	5	0	0	0	0	0	1
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	1	0	0	0	0	0	0	33	18	0	0	0	0	0	0
1700014D04Rik	3	0	0	0	1	1	0	0	0	10	0	0	26	54	0	0	2	8	5
1700015E13Rik	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0
1700015F17Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
1700016C15Rik	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
1700016D06Rik	41	31	36	49	30	136	43	89	53	20	3	43	28	0	61	65	103	26	60
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	55	0	0
1700017B05Rik	2026	1037	828	1242	858	4272	1465	1234	1596	539	285	27	122	48	28	137	404	49	149
1700017D01Rik	6	5	56	11	17	40	38	24	35	1	70	16	74	102	56	28	60	11	30
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	0	2	4	0	1	0	5	1	1	0	1	0	0	0	1	0	0	2
1700019A02Rik	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1700019D03Rik	1	3	8	7	1	13	13	4	0	169	1	5	0	0	0	2	9	0	0
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700019O17Rik	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1700020A23Rik	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	2	1	1	2	1	6	1	0	0	4	19	0	3	0	0	0	1	0	2
1700020L24Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700020N01Rik	0	5	16	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0
1700020N15Rik	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	96	95	78	107	28	96	19	96	35	133	20	11	81	1	0	13	16	15	8
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1700022I11Rik	8	14	13	5	6	23	26	0	30	14	8	1	14	1	8	35	21	21	39
1700023F06Rik	2	0	11	3	0	4	0	19	0	15	49	18	0	2	0	10	24	9	10
1700024B05Rik	0	0	3	0	0	24	8	0	50	0	0	48	11	0	0	4	1	0	1
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	31	12	37	24	16	54	28	7	94	22	13	7	16	6	31	41	77	4	21
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	0	0	4	0	0	0	1	0	0	17	0	0	0	0	0	8	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	6	1	3	1	0	0	0	1	2	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	806	713	403	638	377	1547	804	600	283	271	669	445	578	356	483	612	371	322	454
1700028B04Rik	24	51	50	47	10	31	7	8	15	31	22	8	8	10	7	13	5	7	18
1700028J19Rik	79	86	53	51	53	158	68	435	596	33	374	368	473	364	29	61	87	64	62
1700028K03Rik	45	17	60	48	15	77	4	33	4	32	13	26	20	1	0	3	1	0	3
1700028P14Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	1	0	4	2	2	0	0	0	0	1	0	5	1	1	0	0	4	31	0
1700029H14Rik	0	0	0	6	0	3	1	0	27	0	0	28	0	0	0	0	0	0	2
1700029I15Rik	6	6	1	8	2	10	0	1	1	20	22	0	0	0	83	1	0	0	0
1700029J07Rik	12	0	6	18	4	6	2	6	1	25	21	4	8	1	0	2	1	0	4
1700029P11Rik	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
1700030C10Rik	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0
1700030J22Rik	41	18	15	31	12	31	5	41	0	18	15	40	0	0	55	44	15	44	44
1700030K09Rik	80	105	67	122	36	202	144	31	93	132	18	19	50	16	0	19	32	25	8
1700031F05Rik	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1700031M16Rik	8	0	1	0	0	3	2	0	0	0	0	0	1	0	1	0	0	0	1
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	17	14	5	3	8	45	0	16	0	11	0	0	0	0	7	1	3	1	1
1700034J05Rik	25	23	16	31	10	49	94	44	18	33	42	21	87	95	33	39	57	9	18
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	71	122	104	173	32	189	91	167	70	101	57	45	171	11	1	52	9	88	25
1700037H04Rik	353	143	134	192	107	740	274	70	100	188	98	108	155	24	12	110	156	34	73
1700039E15Rik	3	0	7	0	0	0	22	0	0	0	0	0	0	0	0	0	10	0	2
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	1	4	3	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	149	90	102	85	68	245	84	72	149	80	254	354	425	259	432	433	510	193	462
1700048O20Rik	43	38	33	41	33	125	22	83	38	21	15	14	54	53	16	47	50	31	20
1700049E17Rik1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	1	0	24	1	3	5	0	0	30	3	0	1	6	0	0	2	0	0	0
1700049G17Rik	110	74	71	93	75	364	123	56	41	165	35	112	67	136	1	164	116	68	92
1700049L16Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	0	0
1700056E22Rik	18	31	9	33	4	59	15	0	0	16	7	29	0	43	12	52	65	59	45
1700057G04Rik	2	3	11	3	12	27	5	18	16	3	1	0	11	0	0	20	0	0	6
1700061G19Rik	15	2	8	4	0	6	9	0	0	1	0	0	15	17	0	9	0	7	2
1700063K16Rik	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	4	2	10	0	1	0	0	0	2	0	0	10	13	0	1	8	0	17
1700065I16Rik	0	0	0	0	0	0	0	0	21	0	1	0	2	0	0	0	0	0	0
1700066B19Rik	7	1	9	2	0	3	0	2	0	15	0	0	2	0	0	1	0	0	0
1700066M21Rik	38	79	18	56	20	50	44	0	1	22	6	21	0	0	0	32	5	11	12
1700067K01Rik	1	6	3	0	3	9	0	0	0	0	16	0	0	0	0	0	0	0	0
1700067P10Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
1700071K01Rik	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	1	2	3	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700074P13Rik	2	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700080O16Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	37	14	14	42	27	34	8	105	59	29	1	1	0	11	141	19	18	0	12
1700084M14Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1700086L19Rik	9	25	0	8	3	17	0	0	0	644	0	0	0	0	0	0	0	0	0
1700088E04Rik	21	7	5	12	7	12	6	5	50	38	16	61	52	10	20	5	111	18	23
1700091H14Rik	0	0	7	0	0	0	0	0	10	0	0	0	32	0	0	0	0	0	1
1700092M07Rik	1	7	4	0	0	0	0	0	0	9	1	0	0	0	0	2	0	8	0
1700093K21Rik	0	0	0	0	0	0	1	0	6	9	4	0	9	0	0	1	0	0	1
1700102P08Rik	10	7	8	3	0	17	1	0	0	2	48	0	7	0	0	5	5	0	0
1700109H08Rik	105	80	46	77	30	165	83	552	793	262	35	24	49	293	360	94	52	3	50
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	60	53	36	54	39	174	78	78	26	12	1	23	45	6	17	14	2	0	2
1700113H08Rik	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700122O11Rik	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1700123I01Rik	4	0	10	0	4	18	0	0	0	0	0	0	20	0	0	0	0	0	4
1700123K08Rik	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	0	0
1700123L14Rik	5	1	1	1	2	18	0	0	0	11	2	0	0	1	6	4	7	8	8
1700123O20Rik	169	128	75	120	36	239	28	90	114	103	117	119	17	94	32	44	45	50	48
1700125H20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700128F08Rik	133	79	209	108	124	508	280	109	256	96	191	106	141	33	36	213	189	69	107
1700129C05Rik	0	2	1	1	3	1	0	7	0	3	0	0	25	0	1	0	0	0	5
1810009A15Rik	382	308	226	409	165	601	125	203	199	204	140	141	123	92	15	182	142	92	192
1810009J06Rik	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	7	7	3	1	1	2	13	22	8	30	0	0	0	0	0	1	1	0	0
1810011H11Rik	724	363	323	544	252	1026	361	159	391	220	6	20	53	2	0	4	0	7	0
1810011O10Rik	135	80	139	156	49	87	112	72	236	145	0	13	109	0	0	3	0	0	2
1810013L24Rik	539	625	540	749	246	966	467	378	937	688	451	416	1008	223	117	305	395	102	255
1810018F18Rik	0	3	4	4	0	3	1	8	0	3	1	30	2	26	0	7	5	2	2
1810022K09Rik	339	545	376	547	122	421	181	187	809	449	529	315	338	271	118	113	105	155	108
1810024B03Rik	17	34	11	32	20	24	27	1	0	4	26	42	36	125	0	5	0	0	8
1810026J23Rik	392	339	179	371	121	806	428	35	79	451	144	72	93	88	48	206	208	171	141
1810030O07Rik	1048	672	767	1048	542	2169	907	676	445	752	835	203	813	249	475	604	742	269	520
1810032O08Rik	101	37	91	78	69	257	82	11	2	11	35	86	29	9	77	42	45	4	27
1810037I17Rik	148	408	273	447	80	167	98	55	208	400	116	163	143	168	26	97	77	72	124
1810041L15Rik	62	31	6	21	48	191	66	41	5	54	38	2	5	49	60	24	34	6	2
1810043G02Rik	256	135	152	226	78	434	129	175	248	231	329	195	393	162	398	158	209	202	323
1810043H04Rik	109	79	100	142	52	192	94	89	150	115	36	23	92	109	1	22	25	43	9
1810046K07Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810049J17Rik	2	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0
1810055G02Rik	172	78	69	127	90	542	168	52	112	67	148	20	49	187	0	121	67	85	73
1810062G17Rik	40	8	8	1	3	60	0	1	0	85	0	10	0	0	0	3	21	0	1
1810065E05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010001K21Rik	1	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2010003K11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010005H15Rik	9	18	28	10	8	12	10	26	18	22	8	7	8	13	0	3	11	15	6
2010010A06Rik	3	1	1	0	1	2	0	0	0	2	0	0	10	0	4	1	0	0	1
2010106E10Rik	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	416	805	730	1074	349	933	531	405	329	541	507	398	700	566	21	137	85	37	115
2010107G12Rik	10	3	4	7	9	23	19	0	116	35	16	0	7	7	1	9	82	4	15
2010107G23Rik	10	13	11	16	7	22	18	20	15	174	14	10	6	2	0	5	28	25	4
2010109A12Rik	3	2	8	2	7	0	0	0	0	7	20	1	26	0	0	2	0	0	1
2010109I03Rik	262	333	379	343	269	911	470	463	444	305	318	274	498	276	57	204	130	111	98
2010111I01Rik	218	216	127	170	86	418	287	338	107	232	189	174	197	115	69	18	5	32	28
2010300C02Rik	2	5	11	15	9	25	2	67	0	125	0	15	28	0	0	1	12	1	4
2010315B03Rik	59	52	64	93	27	122	65	19	27	77	24	6	82	36	15	26	23	21	17
2200002D01Rik	157	160	470	170	77	237	116	188	226	118	263	136	173	168	372	234	332	179	281
2200002J24Rik	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0
2210010C04Rik	51	59	13	20	43	122	219	61	174	12	0	13	0	0	1020	13	402	80	93
2210011C24Rik	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210013O21Rik	304	529	596	744	103	414	192	80	351	806	115	73	117	1	8	61	55	105	71
2210016F16Rik	302	322	226	439	168	674	315	123	991	395	174	119	293	88	285	54	32	40	70
2210016L21Rik	494	220	127	257	136	512	217	460	396	513	160	225	205	38	54	164	186	149	141
2210017I01Rik	18	9	30	11	34	95	52	8	49	13	68	7	18	2	14	61	56	32	51
2210404O09Rik	88	52	53	76	34	73	49	0	9	41	1	7	27	0	6	14	28	1	2
2210407C18Rik	0	0	0	3	0	1	0	0	0	0	1	15	0	0	0	2	0	0	0
2210408I21Rik	34	12	19	13	23	18	59	0	0	58	9	0	7	0	0	0	1	0	0
2210409E12Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2210418O10Rik	99	102	77	132	67	199	122	14	62	123	45	30	50	15	40	38	31	19	42
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	1	0	0	0	0	0	0	0	21	75	0	0	0	0	0	1	0
2300009A05Rik	23	21	49	20	9	15	2	6	44	35	59	1	7	0	0	0	16	4	28
2310002L09Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
2310007B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310009B15Rik	14	34	14	10	4	21	0	0	58	23	7	83	12	0	0	0	16	0	4
2310011J03Rik	204	103	71	111	76	264	111	82	124	58	17	33	123	23	151	150	280	46	101
2310022A10Rik	1071	883	759	1246	418	1551	847	1441	845	529	2616	1816	1598	3041	112	416	359	533	637
2310022B05Rik	249	171	127	262	79	207	173	131	48	646	108	116	178	93	141	183	212	112	158
2310030G06Rik	0	0	0	0	4	4	0	0	0	114	0	0	0	0	0	30	9	0	1
2310033P09Rik	146	137	88	140	70	261	73	187	42	126	58	62	163	0	105	73	101	141	103
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	0	0	0	1	0	2	0	0	0	7	0	1	20	0	0	0	0	0	0
2310035C23Rik	927	904	610	1096	454	1693	1180	1357	840	756	876	757	828	508	343	355	382	415	319
2310036O22Rik	116	155	153	164	87	261	84	97	189	185	87	78	168	18	160	142	92	22	76
2310039H08Rik	26	21	14	21	19	93	17	0	17	76	14	9	0	0	0	16	29	25	18
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	1	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0
2310057M21Rik	415	301	257	355	134	790	331	172	525	308	380	304	337	179	156	147	88	83	146
2310057N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310061I04Rik	95	87	86	76	55	185	33	25	26	130	16	118	44	29	243	64	62	96	77
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	532	280	208	360	180	585	225	324	330	351	112	165	216	211	15	227	143	275	158
2410004B18Rik	53	48	31	69	16	102	36	21	22	44	24	47	15	37	18	47	39	9	35
2410004P03Rik	122	84	91	94	87	456	113	268	94	110	91	132	181	123	166	139	163	32	138
2410015M20Rik	431	434	297	563	149	685	297	25	272	478	327	129	189	108	110	232	433	148	339
2410016O06Rik	66	24	26	56	6	61	22	47	61	29	17	55	6	0	4	24	46	39	34
2410024N13Rik	9	2	3	10	1	18	1	26	0	1	1	5	19	1	0	0	3	0	2
2410089E03Rik	619	497	305	464	223	994	466	327	355	584	123	20	249	87	166	174	183	73	115
2410131K14Rik	419	197	158	333	164	626	521	52	76	169	89	131	99	41	127	159	102	164	197
2410137M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2410141K09Rik	6	2	38	3	9	12	23	0	1	2	9	5	2	0	0	13	0	0	4
2510002D24Rik	54	39	63	62	43	197	37	74	52	63	45	65	84	10	26	81	52	71	58
2510009E07Rik	3645	1641	1339	2035	786	3993	2364	1774	2325	1041	2091	1319	1445	1439	415	449	504	511	343
2510039O18Rik	1368	429	296	558	263	1462	492	345	447	364	219	161	294	261	289	352	414	327	345
2610001J05Rik	115	227	144	233	43	167	178	77	98	195	39	139	223	219	4	12	29	44	11
2610002M06Rik	50	74	26	101	66	228	59	40	35	227	81	137	90	88	44	42	58	4	62
2610005L07Rik	589	675	651	966	242	1492	581	256	355	770	570	540	623	461	424	403	740	398	463
2610008E11Rik	78	86	90	134	43	283	56	1	0	200	57	17	38	0	0	22	3	0	21
2610020H08Rik	168	248	223	294	82	317	168	210	194	219	275	135	328	392	76	140	222	88	125
2610021A01Rik	178	263	128	282	173	748	240	21	76	195	53	42	87	296	23	74	66	51	55
2610024D14Rik	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2610028H24Rik	0	0	4	0	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0
2610042L04Rik	0	0	0	2	0	0	0	0	0	1	0	2	2	0	0	3	0	0	7
2610044O15Rik8	149	97	127	196	81	454	239	49	44	144	69	61	99	11	11	43	39	25	22
