	GSM1910656	GSM1910659	GSM1910652	GSM1910667	GSM1910657	GSM1910665	GSM1910662	GSM1910655	GSM1910664	GSM1910653	GSM1910658	GSM1910666	GSM1910660	GSM1910661	GSM1910663	GSM1910654
1110037F02Rik	935	781	372	393	491	1265	1010	410	676	480	1263	117	1010	449	866	1164
1110038F14Rik	288	159	122	110	135	318	261	94	210	167	320	84	218	129	201	289
1110051M20Rik	398	206	131	139	162	405	301	105	222	148	342	114	279	159	225	341
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	351	245	125	135	145	396	285	94	219	162	418	68	236	138	284	290
1110059G10Rik	192	149	63	62	87	213	165	72	130	105	244	50	178	101	154	233
1110065P20Rik	372	263	137	136	143	450	404	118	275	187	318	163	370	210	302	360
1190002N15Rik	638	409	342	235	276	1107	654	176	547	480	852	117	609	338	675	597
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	6	3	1	1	0	4	1	1	1	3	9	2	5	1	4	9
1190007I07Rik	54	64	20	30	15	117	82	16	64	37	38	30	89	46	72	44
1300017J02Rik	2	1	1	1	1	2	1	0	7	0	1	0	1	1	0	1
1500009C09Rik	1	3	0	1	0	3	5	0	1	3	0	0	0	2	1	0
1500009L16Rik	442	166	214	106	153	329	231	118	222	185	324	125	204	198	291	402
1500011B03Rik	575	413	277	217	249	613	556	199	395	313	492	165	595	253	455	495
1500011K16Rik	232	158	78	93	68	326	242	68	162	122	191	92	235	135	193	192
1500015O10Rik	1	1	0	2	1	1	0	0	2	0	4	0	1	0	1	1
1520401A03Rik	2	3	1	4	4	17	6	1	6	5	8	0	2	2	2	1
1600002H07Rik	83	58	31	49	37	140	98	26	77	54	88	33	71	40	97	70
1600002K03Rik	115	94	47	41	54	172	114	34	106	71	120	51	111	65	84	96
1600012H06Rik	682	383	221	208	301	638	502	201	409	309	825	125	431	279	407	733
1600014C10Rik	261	287	168	150	91	474	426	74	279	210	276	85	399	201	352	213
1600014C23Rik	0	2	1	0	0	12	4	0	4	3	0	9	2	2	6	1
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	2	2	0	0	2	2	0	1	2	4	7	0	2	1	2	4
1700001C02Rik	5	6	2	1	2	5	8	2	3	2	1	1	10	0	2	4
1700001C19Rik	12	22	20	10	4	42	29	4	37	16	13	9	36	16	34	16
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	1	6	0	1	2	9	5	1	2	1	1	3	0	0	2	1
1700001J11Rik	3	2	1	2	2	1	3	0	4	1	5	0	1	1	1	5
1700001K19Rik	2	5	0	4	2	4	1	2	0	1	4	3	1	3	1	8
1700001L19Rik	2	1	1	0	0	2	1	0	0	1	1	0	1	3	0	3
1700001O22Rik	2	11	3	0	2	5	1	1	3	10	3	2	7	5	4	6
1700001P01Rik	2	0	1	1	0	1	1	5	6	1	5	2	1	0	0	1
1700003E16Rik	41	9	6	10	18	19	29	7	8	9	46	3	13	5	29	35
1700003F12Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	2	2	0	0	1	0	0	0	0	0	4	0	0	0	1	1
1700007G11Rik	0	0	0	1	0	0	1	0	1	4	1	0	2	1	2	0
1700007K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	22	14	9	7	6	11	15	9	17	12	14	6	12	6	13	25
1700008O03Rik	6	5	6	1	3	4	5	0	13	5	3	0	8	1	6	2
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700010B08Rik	1	1	0	0	0	3	0	0	3	1	3	0	1	1	0	1
1700010I14Rik	20	9	9	7	12	15	21	9	11	20	29	3	8	11	13	21
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700011E24Rik	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
1700011H14Rik	0	1	7	2	0	2	1	2	12	2	33	3	0	1	2	2
1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
1700012B09Rik	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0
1700012L04Rik	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	3
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700013F07Rik	11	14	2	5	3	12	13	1	10	8	8	2	8	6	9	8
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	4	0	0	0	1	1	0	0	1	1	1	1	2	1	2	3
1700015E13Rik	0	2	0	0	1	0	1	0	1	0	1	0	0	1	1	0
1700015F17Rik	1	0	0	0	0	2	1	0	1	0	1	0	0	0	2	0
1700015G11Rik	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
1700016C15Rik	1	0	0	0	1	1	3	0	1	0	1	0	0	0	0	1
1700016D06Rik	5	5	0	1	2	18	3	1	4	2	5	0	3	1	1	3
1700016H13Rik	2	0	0	1	1	1	0	0	1	0	1	0	2	1	0	1
1700016K19Rik	7	19	2	14	5	39	30	2	21	12	3	9	29	7	23	4
1700017B05Rik	212	135	91	69	121	258	178	103	141	130	480	53	157	105	153	226
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0
1700018C11Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
1700019B03Rik	1	0	2	1	3	2	1	0	2	0	2	0	1	0	1	2
1700019D03Rik	622	639	259	371	197	1185	868	177	710	411	670	141	859	323	762	511
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
1700020D05Rik	7	9	3	1	6	12	5	1	9	5	5	0	6	2	8	7
1700020L24Rik	2	2	1	1	3	3	0	0	1	3	15	0	1	0	2	1
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	144	132	48	60	49	208	156	61	129	84	184	66	149	69	138	160
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	3	1	0	0	1	0	0	0	2	1	2	0	0	2	2	0
1700023F06Rik	88	67	50	33	42	109	80	36	51	45	79	43	104	46	77	108
1700024B05Rik	1	1	1	0	0	2	1	0	0	0	0	0	1	0	1	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	4	3	0	0	2	1	3	0	3	3	2	1	4	1	1	4
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	2	0	0	1	3	2	2	3	3	2	1	1	1	4	4	8
1700025B11Rik	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1700025C18Rik	3	0	0	0	0	2	3	0	0	1	0	0	1	0	5	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	180	125	54	59	71	159	103	75	94	65	214	43	99	81	91	271
1700028B04Rik	1	0	1	0	0	2	1	1	1	1	1	0	1	1	1	1
1700028J19Rik	9	8	3	5	3	11	8	0	2	5	11	1	5	0	8	8
1700028K03Rik	0	8	0	4	0	5	4	2	16	2	1	0	7	7	2	8
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	1	1	1	1	1	0	1	0	0	0	2	2
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700029I15Rik	31	21	10	10	24	53	21	13	31	20	32	15	17	11	21	16
1700029J07Rik	56	35	31	43	26	154	47	12	72	43	42	22	41	33	52	37
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
1700030C10Rik	13	3	8	8	6	22	40	8	12	17	23	6	18	10	16	12
1700030J22Rik	23	16	6	7	13	25	19	5	18	9	23	1	28	19	19	26
1700030K09Rik	125	102	42	39	43	189	103	42	77	63	140	42	121	61	100	103
1700031F05Rik	0	0	0	0	0	1	1	0	1	2	0	0	0	0	1	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700034J05Rik	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	112	66	37	37	28	115	77	32	70	48	76	53	94	43	68	76
1700037H04Rik	123	135	60	66	49	217	159	35	134	93	137	68	175	90	147	137
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	92	25	19	21	30	50	41	37	28	11	94	14	36	18	38	86
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	174	119	107	63	81	274	183	74	141	130	263	24	158	36	190	207
1700048O20Rik	13	6	2	2	6	4	5	2	6	6	15	3	6	4	4	8
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
1700049G17Rik	157	141	70	73	79	204	195	55	134	82	171	23	142	108	159	148
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	80	34	43	19	14	86	55	10	46	41	76	11	47	37	45	40
1700057G04Rik	5	6	3	6	4	7	2	0	0	4	2	1	6	6	8	6
1700061G19Rik	8	11	3	10	4	35	25	0	11	11	13	3	18	7	17	3
1700063K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700064H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	4	7	3	4	3	11	9	0	5	5	7	6	4	3	10	6
1700066M21Rik	157	160	65	84	61	268	202	58	169	106	175	30	212	91	201	132
1700067K01Rik	7	6	8	5	8	10	7	3	5	4	6	5	4	3	6	6
1700067P10Rik	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	2	0	0	1	4	2	1	0	0	0	1	0	0	1	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	4
1700086L19Rik	604	647	199	288	278	735	685	212	514	254	338	151	564	382	706	603
1700088E04Rik	80	77	43	39	39	136	112	36	70	50	106	41	121	49	103	62
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	3	7	0	1	1	8	3	0	3	1	2	2	4	0	1	1
1700093K21Rik	2	3	1	1	0	6	3	2	0	1	2	0	2	2	2	0
1700102P08Rik	11	7	4	2	11	18	10	7	4	2	24	4	10	6	7	11
1700109H08Rik	20	15	6	6	19	25	16	4	25	12	30	1	6	15	26	26
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	4	6	2	1	3	5	3	3	1	0	7	0	6	4	3	15
1700113H08Rik	2	0	1	0	0	1	1	0	0	0	0	1	0	1	2	0
1700122O11Rik	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123K08Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700123L14Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
1700123O20Rik	312	211	118	115	150	423	308	120	278	169	398	120	293	182	263	377
1700125H20Rik	3	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0
1700128F08Rik	8	5	6	3	4	10	7	1	4	0	6	2	4	2	4	4
1700129C05Rik	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
1810009A15Rik	156	139	80	71	52	202	153	37	142	110	208	67	157	91	137	137
1810009J06Rik	154	20	21	7	17	0	19	49	4	18	255	2	28	12	6	20
1810010H24Rik	85	54	20	26	24	66	54	21	43	39	62	13	55	15	45	40
1810011H11Rik	2	3	1	3	0	3	2	0	3	3	3	1	2	4	14	1
1810011O10Rik	652	266	120	105	250	438	295	163	239	192	1323	139	250	176	229	341
1810013L24Rik	870	609	350	326	466	1168	787	345	660	448	1179	165	694	379	757	942
1810018F18Rik	16	3	0	2	8	3	1	5	2	0	59	2	1	0	1	30
1810022K09Rik	409	300	135	133	194	515	311	152	274	220	549	160	281	205	322	409
1810024B03Rik	24	14	6	5	2	26	14	7	20	14	22	6	25	9	14	23
1810026J23Rik	1185	788	407	414	640	1403	1071	487	846	596	1212	176	1063	491	902	1475
1810030O07Rik	584	410	257	227	219	856	611	144	496	354	626	135	545	279	530	521
1810032O08Rik	45	57	22	22	36	68	39	12	47	31	99	14	51	21	35	47
1810037I17Rik	887	512	391	234	319	999	748	281	534	464	895	327	675	443	682	833
1810041L15Rik	450	225	128	96	143	454	293	152	229	179	277	36	313	141	317	371
1810043G02Rik	536	236	139	148	341	423	338	169	286	182	580	111	243	166	346	470
1810043H04Rik	176	114	66	80	53	178	139	49	116	91	172	67	143	82	149	156
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810049J17Rik	119	133	54	84	44	186	192	50	119	74	155	4	168	79	140	152
1810055G02Rik	132	131	59	57	79	208	135	51	106	96	275	52	118	62	133	158
1810062G17Rik	16	23	8	12	18	49	9	25	25	22	24	9	5	21	30	14
1810065E05Rik	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
2010001K21Rik	1	1	1	1	0	2	0	0	1	1	3	0	0	1	1	0
2010003K11Rik	3	0	1	0	1	4	1	0	1	1	13	0	1	0	2	3
2010005H15Rik	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0
2010010A06Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	697	395	214	195	231	679	524	239	375	300	689	250	518	303	422	634
2010107G12Rik	17	16	15	12	3	35	16	2	38	22	17	9	12	14	29	7
2010107G23Rik	286	185	90	98	104	307	233	70	180	149	216	83	246	113	198	178
2010109A12Rik	5	4	4	1	1	1	3	0	2	2	3	0	2	4	6	2
2010109I03Rik	7	10	4	6	5	9	7	5	5	5	49	2	3	5	5	6
2010111I01Rik	1041	554	373	387	665	1549	781	337	816	515	1227	267	667	407	740	949
2010300C02Rik	521	161	75	92	284	289	214	187	155	104	707	43	168	92	179	652
2010315B03Rik	174	157	79	84	56	247	188	52	161	92	198	29	177	104	156	135
2200002D01Rik	9	13	19	6	5	15	16	3	12	27	131	31	12	16	12	2
2200002J24Rik	23	14	22	14	5	30	35	10	35	9	14	11	42	21	31	15
2210010C04Rik	42080	6259	1736	2149	24385	1896	4453	14802	4885	5321	129019	5918	6547	3218	3631	65368
2210011C24Rik	4	11	2	3	3	11	17	2	8	8	12	1	12	6	7	10
2210013O21Rik	356	173	132	97	131	285	263	109	157	145	293	88	245	174	216	271
2210016F16Rik	683	488	328	275	233	903	652	200	488	376	826	201	609	337	577	672
2210016L21Rik	907	538	313	314	438	906	687	294	595	437	903	214	672	374	649	790
2210017I01Rik	4	3	3	3	0	0	2	0	0	0	0	0	1	4	2	1
2210404O09Rik	97	75	36	36	22	114	85	29	76	50	94	12	72	44	79	55
2210407C18Rik	0	3	0	1	2	2	1	1	2	2	1	6	0	1	4	0
2210408I21Rik	162	108	73	39	65	137	118	50	80	67	140	18	138	78	78	152
2210409E12Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2210418O10Rik	190	216	107	105	78	296	245	64	218	144	243	33	267	121	138	207
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	293	190	101	107	118	353	227	93	232	131	282	106	236	150	239	281
2310002L09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310007B03Rik	0	0	1	2	0	0	3	0	2	16	1	3	0	1	0	0
2310009B15Rik	94	66	33	30	29	95	78	19	55	42	74	30	62	37	51	79
2310011J03Rik	430	280	167	136	180	505	369	162	292	217	532	175	315	211	340	434
2310022A10Rik	333	170	124	116	153	384	258	118	219	135	360	67	284	137	263	306
2310022B05Rik	1649	673	520	423	812	1364	690	649	678	469	1602	239	576	495	758	1058
2310030G06Rik	453	291	192	147	170	524	381	175	274	246	435	108	331	213	317	453
2310033P09Rik	221	107	71	69	86	185	124	56	107	70	158	40	119	78	132	181
2310034C09Rik	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
2310034G01Rik	54	38	25	19	24	60	50	28	23	27	52	15	48	23	31	37
2310035C23Rik	598	456	198	203	346	654	512	219	435	287	721	67	478	259	436	687
2310036O22Rik	858	717	384	343	394	1092	980	291	743	515	1041	404	925	480	771	839
2310039H08Rik	246	213	116	108	81	348	319	96	232	176	253	115	280	162	248	226
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
2310057M21Rik	244	158	77	104	122	305	239	78	147	129	286	46	214	92	208	276
2310057N15Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2310061I04Rik	440	318	174	164	206	483	355	138	335	242	488	132	337	193	333	325
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	725	586	273	324	531	1041	617	280	711	519	970	194	579	362	594	739
2410004B18Rik	205	116	85	92	100	229	158	73	127	106	241	45	147	95	149	198
2410004P03Rik	17	8	0	0	11	5	7	11	11	4	9	0	2	3	7	20
2410015M20Rik	809	517	302	275	291	971	733	278	558	397	726	316	808	363	625	730
2410016O06Rik	107	114	49	45	79	160	120	50	108	81	196	42	145	60	126	141
2410024N13Rik	1	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0
2410089E03Rik	485	435	194	173	213	533	494	211	288	213	572	44	494	225	436	611
2410131K14Rik	372	354	176	194	181	672	472	134	381	241	462	90	466	226	443	374
2410137M14Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410141K09Rik	4	1	0	1	1	2	3	0	3	3	6	0	3	0	2	3
2510002D24Rik	286	195	78	110	138	325	247	108	191	121	349	60	215	114	211	244
2510009E07Rik	1342	833	478	421	490	1216	908	346	777	532	1457	131	908	516	868	1069
2510039O18Rik	1259	826	521	445	592	1473	1105	484	856	602	1522	291	1134	607	1067	1375
2610001J05Rik	612	403	216	226	226	725	498	151	495	303	660	158	525	250	514	525
2610002M06Rik	701	483	214	263	248	795	649	237	429	295	718	85	640	294	479	690
2610005L07Rik	899	811	174	296	502	953	736	372	647	272	966	32	657	453	655	1038
2610008E11Rik	463	270	133	180	182	499	371	173	295	181	378	45	337	171	314	433
2610020H08Rik	35	35	10	25	14	47	33	15	43	22	34	13	34	19	33	33
2610021A01Rik	234	189	96	95	101	295	240	79	199	137	265	34	220	90	216	231
2610024D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610028H24Rik	6	1	0	2	5	0	4	5	4	0	4	0	6	0	5	6
2610042L04Rik	4	0	2	3	0	5	1	1	2	4	4	3	2	0	5	0
2610044O15Rik8	207	225	89	101	66	265	241	38	156	120	236	31	220	128	207	156
2610301B20Rik	322	230	126	150	181	366	276	189	244	192	372	86	263	163	255	337
2610305D13Rik	107	36	28	43	11	133	50	13	79	66	89	22	45	20	43	28
2610318N02Rik	16	13	3	9	9	26	17	6	14	10	9	7	15	2	16	13
2610507B11Rik	3684	2081	1374	1139	1314	3351	2670	1480	1967	1647	5341	346	2604	1505	2384	3977
2610524H06Rik	259	212	137	110	113	300	330	92	161	157	238	111	281	139	215	235
2610528A11Rik	3	2	2	1	1	2	5	0	1	1	5	1	1	1	0	1
2610528J11Rik	36	32	10	18	28	20	28	16	26	15	110	8	27	17	20	35
2700029M09Rik	379	237	134	136	135	473	292	106	248	185	405	96	323	187	284	311
2700049A03Rik	177	176	95	103	36	260	196	34	110	92	165	41	183	100	145	97
2700060E02Rik	1054	604	338	370	278	1278	707	281	568	500	940	350	703	372	843	707
2700062C07Rik	149	110	66	62	76	228	143	44	103	79	156	43	141	73	128	158
2700081O15Rik	373	254	117	154	142	327	308	114	268	223	448	73	234	182	283	348
2700094K13Rik	160	92	48	72	46	127	78	33	82	61	117	46	91	44	112	89
2700097O09Rik	108	65	34	57	89	191	101	20	111	65	116	31	64	46	70	72
2700099C18Rik	25	4	9	7	8	20	8	6	5	17	10	1	11	8	9	8
2810004N23Rik	276	257	109	144	89	355	293	80	270	198	358	62	304	124	248	265
2810006K23Rik	122	123	66	87	34	204	143	19	123	80	125	42	159	77	125	71
2810021J22Rik	168	175	94	94	99	250	241	76	174	139	204	25	202	98	173	214
2810025M15Rik	150	122	60	64	52	201	147	45	125	73	176	49	164	82	141	145
2810039B14Rik	25	21	7	12	8	26	14	10	12	12	22	1	20	15	24	13
2810047C21Rik1	10	14	3	13	9	14	21	3	5	10	17	0	0	6	8	8
2810403A07Rik	1077	910	492	467	968	1696	1011	321	1281	748	1601	183	714	612	809	1113
2810408A11Rik	3	16	2	2	2	6	11	1	14	11	5	4	14	9	10	4
2810417H13Rik	32	13	11	14	11	19	15	16	22	10	28	6	11	23	23	21
2810428I15Rik	294	243	141	142	102	401	356	112	301	219	346	165	345	215	341	321
2810459M11Rik	1	7	2	0	0	1	3	2	1	1	45	1	2	0	5	0
2810474O19Rik	536	222	154	166	265	588	257	186	310	307	805	49	221	146	316	429
2900011O08Rik	9	16	2	5	9	10	19	7	10	10	35	3	16	16	6	4
2900026A02Rik	2593	1160	778	649	1175	2049	1566	1015	1117	893	2499	193	1523	807	1405	3492
2900055J20Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1
2900092C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000002C10Rik	42	57	20	43	19	122	74	5	69	53	60	19	64	33	66	32
3010026O09Rik	29	10	10	8	11	21	14	7	19	6	16	4	13	9	14	10
3100002H09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110001I22Rik	16	27	9	8	18	54	38	10	23	8	39	6	25	11	28	32
3110002H16Rik	726	303	231	217	503	723	450	170	431	309	969	139	415	205	566	677
3110009E18Rik	30	22	10	19	3	29	28	5	17	7	40	15	32	23	30	22
3110018I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110021N24Rik	1	0	1	3	3	3	1	2	0	2	3	0	0	0	6	1
3110035E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3110040N11Rik	175	151	82	84	51	248	173	57	147	91	171	69	168	121	194	149
3110043O21Rik	508	440	176	232	321	954	602	211	512	291	681	84	584	260	655	591
