	GSM4253927	GSM4253928	GSM4253929	GSM4253930	GSM4253931	GSM4253932	GSM4253933	GSM4253934	GSM4253935	GSM4253936	GSM4253937	GSM4253938	GSM4253939	GSM4253940	GSM4253941	GSM4253942	GSM4253943	GSM4253944
ABCC4	24	93	36	51	122	107	140	1	24	43	110	0	86	128	90	204	29	51
ABCC5	70	35	76	15	3	13	40	45	10	31	36	31	25	31	28	0	79	48
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	25	11	12	3	5	30	12	50	20	50	0	25	0	12	11	8	0	2
ABCC6P1	0	0	0	12	0	21	9	16	0	0	11	4	0	0	6	0	15	0
ABCC6P2	0	0	12	0	0	0	6	0	0	0	0	0	0	2	5	14	0	0
ABCC8	0	0	0	7	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ABCC9	7	12	1	0	3	0	0	6	4	4	5	0	2	25	5	2	6	2
ABCD1	42	11	11	4	0	0	28	3	0	31	0	17	31	0	9	27	16	2
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	357	264	315	195	210	173	208	455	246	336	188	212	243	272	359	351	507	271
ABCD4	86	29	42	20	31	11	48	49	38	30	35	14	36	26	14	15	37	17
ABCE1	103	114	99	113	140	201	263	124	110	112	98	41	115	239	146	138	74	151
ABCF1	207	122	104	74	111	118	93	133	131	103	115	57	161	204	89	147	180	163
ABCF2	9	44	25	9	46	24	15	36	70	3	89	0	24	46	39	16	22	12
ABCF2-H2BK1	25	18	0	5	0	18	52	0	0	5	0	18	19	23	0	31	18	23
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	95	62	85	62	57	61	71	63	54	78	107	64	32	48	68	7	63	64
ABCG1	21	18	43	19	0	25	0	15	2	11	0	28	30	2	13	0	16	11
ABCG2	1	12	3	5	0	7	0	30	0	0	0	0	0	9	0	0	4	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCG8	0	0	0	0	0	2	0	0	0	0	0	0	1	6	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	9	45	0	26	38	62	71	36	60	65	51	27	107	134	88	73	62	78
ABHD11	36	33	5	15	5	0	11	29	29	17	0	33	28	29	1	12	41	0
ABHD11-AS1	0	0	0	11	0	0	0	0	0	4	0	15	0	0	0	0	9	0
ABHD12	133	136	106	82	90	126	114	168	41	103	147	46	55	86	87	85	156	31
ABHD12B	8	1	4	0	0	0	7	0	13	0	0	1	6	11	14	0	2	3
ABHD13	115	38	29	26	15	29	33	66	51	49	67	45	76	43	17	47	48	17
ABHD14A	2	0	0	14	0	0	7	0	2	0	0	0	7	10	12	39	0	0
ABHD14A-ACY1	0	6	11	0	10	2	0	52	0	46	0	28	21	9	11	0	39	0
ABHD14B	79	63	73	67	40	53	14	116	25	31	68	49	67	60	64	98	21	37
ABHD15	53	26	27	25	9	21	24	53	16	16	31	25	24	4	33	44	47	44
ABHD15-AS1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ABHD16A	67	54	47	24	5	29	27	18	74	68	34	43	34	50	21	23	75	34
ABHD16B	14	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0
ABHD17A	46	37	57	40	31	36	37	24	39	63	71	17	47	68	19	51	74	48
ABHD17AP1	0	1	0	0	0	0	0	6	0	0	0	22	0	0	0	7	0	0
ABHD17AP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	38	29	42	5	35	21	19	36	0	75	13	7	36	16	18	16	29	17
ABHD17C	336	143	266	84	209	168	166	280	97	169	139	110	183	201	221	191	274	195
ABHD18	57	41	13	3	23	10	30	36	12	32	44	24	29	57	21	25	16	39
ABHD2	2230	1351	1669	937	448	560	552	2188	1066	1867	903	1363	1045	528	700	766	2709	1086
ABHD3	118	6	132	77	31	40	4	176	24	75	16	230	34	46	70	110	223	39
ABHD4	108	142	92	88	93	173	60	113	46	123	85	53	56	36	54	88	116	10
ABHD5	64	79	60	30	63	41	82	47	58	71	65	87	25	35	34	103	72	58
ABHD6	1	1	5	11	39	4	11	1	5	29	0	0	0	17	5	6	0	6
ABHD8	11	0	5	5	3	0	0	4	5	4	0	11	2	0	4	0	5	1
ABI1	174	115	201	81	56	112	105	200	159	143	101	191	126	91	72	158	238	155
ABI1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	107	118	84	84	155	115	125	133	94	126	59	69	121	134	71	81	89	96
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	981	430	793	246	35	15	19	633	208	700	308	287	125	21	56	1	408	92
ABITRAM	40	33	17	13	35	6	37	14	57	25	11	27	40	57	18	87	45	22
ABITRAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	104	124	141	48	70	130	60	122	98	150	67	50	88	77	81	97	86	62
ABL2	55	77	25	39	48	11	16	111	10	8	38	38	85	90	66	46	80	101
ABLIM1	233	234	276	137	237	422	392	298	187	392	111	108	163	237	286	288	215	54
ABLIM2	15	1	0	0	0	0	2	9	0	21	14	0	0	0	6	0	8	9
ABLIM3	285	180	207	124	134	91	45	37	119	243	68	85	161	183	88	93	236	48
ABO	3	0	47	13	0	13	0	19	21	15	0	100	51	44	26	39	91	43
ABR	169	114	175	156	194	73	170	255	185	259	77	115	145	160	270	239	278	129
ABR-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	39	33	45	36	28	30	49	54	47	49	0	12	44	61	45	49	58	25
ABRAXAS1	14	25	29	25	1	30	40	46	47	18	1	0	23	55	69	53	3	44
ABRAXAS2	74	29	67	42	16	57	52	46	26	27	56	39	74	9	37	57	32	46
ABT1	12	18	15	0	28	26	0	10	6	0	3	0	11	27	28	29	21	9
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	22	22	15	22	7	16	6	20	51	63	3	46	28	20	32	11	5	27
ABTB2	39	3	64	56	0	0	4	75	25	1	31	31	19	6	19	26	75	16
ACAA1	138	171	101	85	49	85	64	86	98	207	22	73	37	75	111	106	185	79
ACAA2	130	36	77	55	83	122	125	101	33	183	57	73	35	85	57	117	128	13
ACAA2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACA	304	214	82	156	126	380	242	234	194	184	78	114	204	250	260	202	316	110
ACACB	50	63	83	48	40	78	41	13	33	40	33	32	16	52	62	49	133	29
ACAD10	0	24	12	40	16	39	36	36	29	18	37	22	18	48	45	15	63	16
ACAD11	2	9	11	15	15	2	10	21	37	4	40	35	7	47	7	0	37	41
ACAD8	22	49	37	20	18	51	22	19	25	22	52	32	0	23	27	61	72	20
ACAD9	9	33	19	25	17	9	39	55	20	64	66	15	40	89	68	70	77	30
ACAD9-DT	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0
ACADL	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ACADM	120	35	21	49	62	123	43	25	106	82	51	41	62	131	21	81	73	107
ACADS	33	11	42	10	7	21	5	32	11	21	14	38	25	13	35	45	35	2
ACADSB	8	80	57	48	20	65	103	30	11	46	31	36	44	54	10	48	54	39
ACADVL	528	333	467	284	467	674	409	446	354	413	278	291	303	524	507	482	591	432
ACAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	8	0	0	0	14	0	0	16	0	4	8	16	0	0
ACAP2	104	138	104	133	82	95	88	220	126	141	185	127	83	126	132	42	206	112
ACAP2-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ACAP3	74	14	85	51	19	96	55	93	60	38	49	55	77	44	40	109	12	20
ACAT1	33	57	9	18	140	83	102	11	16	0	0	1	40	133	58	71	10	0
ACAT2	756	112	200	105	379	291	299	625	146	688	27	253	57	416	297	206	761	36
ACBD3	304	305	140	159	89	174	153	359	273	285	228	210	390	115	197	246	384	106
ACBD3-AS1	0	0	0	6	0	0	3	0	0	0	1	0	0	0	0	0	0	0
ACBD4	13	59	14	15	12	13	24	21	43	35	41	23	54	13	2	2	8	0
ACBD5	273	176	182	124	139	193	178	135	138	208	154	219	170	168	168	126	362	92
ACBD6	21	29	29	60	47	38	15	25	20	56	14	22	73	9	23	49	54	17
ACBD7	0	0	0	12	0	0	2	0	0	0	0	0	0	2	2	7	0	0
ACCS	1	3	8	39	9	20	13	32	0	14	0	12	25	18	5	0	18	15
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	28	0	0	2	0	11	4	9	21	10	9	9	0	16	18	19	4	0
ACE	20	0	3	24	0	3	0	4	9	21	0	17	0	18	4	14	21	40
ACE2	77	57	130	19	0	33	0	239	29	174	6	16	0	0	0	0	97	0
ACE3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	25	7	7	0	7	10	0	19	9	51	0	30	9	0	8	26	65	10
ACER2P1	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0
ACER3	110	117	57	86	94	75	74	85	206	99	75	29	57	104	149	140	124	42
ACHE	43	3	80	0	2	0	0	57	12	23	0	35	0	0	0	12	12	0
ACIN1	252	310	318	189	302	279	333	174	213	161	201	248	272	298	218	329	218	116
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	6	0	1	0	10	0	0	2	0	0	0	10	6	0	3	0	26	0
ACKR3	14	0	0	0	0	3	4	10	0	32	0	0	0	0	0	0	0	0
ACKR4	21	0	0	0	4	0	0	0	0	9	0	5	0	0	0	0	5	8
ACKR4P1	0	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ACLY	1088	332	530	254	602	821	817	677	449	1188	265	348	271	696	509	681	641	220
ACMSD	10	0	12	0	0	0	0	20	0	0	0	3	0	1	0	0	44	0
ACNATP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	133	177	115	73	109	120	131	189	192	140	106	122	155	126	87	198	109	106
ACO2	243	270	156	214	266	257	287	186	312	186	268	173	253	149	164	240	268	252
ACOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT1	17	0	8	6	0	6	0	37	0	4	0	20	14	10	7	0	5	0
ACOT11	1	12	57	0	21	42	40	9	27	13	0	40	33	24	53	70	70	16
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	60	62	70	14	26	50	12	33	37	30	37	8	59	75	34	49	67	81
ACOT2	19	33	30	15	7	3	0	2	12	0	0	0	0	14	4	12	23	6
ACOT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	2	0	9	0	28	65	52	0	4	3	2	6	1	24	49	0	9	11
ACOT8	48	1	17	15	10	15	1	20	11	46	15	11	17	46	21	22	12	0
ACOT9	40	42	35	71	29	100	57	58	49	80	20	36	120	89	58	83	101	110
ACOX1	205	149	146	77	106	128	200	255	135	205	152	165	110	177	225	220	177	100
ACOX2	0	0	5	11	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ACOX3	16	25	16	2	4	10	11	25	27	6	26	19	45	18	1	22	12	0
ACOXL	18	9	9	0	0	0	0	8	0	0	1	3	1	0	5	8	0	0
ACOXL-AS1	0	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ACP1	307	138	108	91	135	195	102	54	154	72	121	95	135	80	148	154	96	40
ACP2	59	35	19	27	21	28	30	17	41	54	18	40	17	15	37	45	48	56
ACP3	2	11	8	0	0	12	0	0	0	6	11	15	0	0	3	0	28	18
ACP4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ACP5	5	0	0	0	0	0	3	0	0	3	0	0	0	0	14	1	31	0
ACP6	45	24	68	69	55	40	16	66	2	57	43	35	29	49	48	31	50	28
ACP7	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0	11	1	7	0	6	0	0	0	1	5	0	12	2	0	0	0	0
ACRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	6	0	0	10	0	10	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	26	20	14	46	4	26	18	18	17	36	23	8	36	27	19	16	35	0
ACSF3	39	30	13	14	3	17	46	15	13	25	0	22	6	48	37	3	23	0
ACSL1	140	99	110	46	159	163	146	122	110	165	1	87	36	97	64	99	91	66
ACSL3	662	550	601	451	607	667	616	745	558	558	298	631	465	571	598	563	941	348
ACSL3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL4	367	286	210	177	317	188	236	450	321	493	252	189	220	319	335	287	407	202
ACSL5	524	566	379	340	546	608	410	374	458	409	219	373	650	695	590	595	576	414
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ACSL6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	12	0	8	0	0	0	0	0
ACSM3	0	1	0	0	8	4	0	0	16	0	0	5	13	0	24	2	0	17
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	3	0	6	28	79	29	25	26	3	0	0	36	18	108	71	11	65
ACSS2	1005	272	549	151	588	413	307	710	216	1090	183	530	221	531	430	478	863	141
ACSS3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	4	0	11	0	7	28	28	27	0	21	0	0	11	19	0	0	12
ACTA2-AS1	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
ACTB	4031	2716	4083	2507	3061	4402	3544	6135	2777	3336	1905	3365	2554	4209	3934	5269	5607	2255
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ACTBP11	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
ACTBP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ACTBP7	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ACTBP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTBP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTE1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	3850	2191	3952	2112	3453	4602	3378	5917	2357	3273	1504	2521	2234	4020	4585	4760	4833	1521
ACTG1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ACTG1P11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTG1P15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P17	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ACTG1P18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P22	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ACTG1P23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P25	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	0
ACTG1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P9	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	5	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ACTL11P	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	13	1	0
ACTL6A	67	39	35	66	177	121	109	75	121	15	33	44	13	82	47	166	41	65
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	444	396	286	228	296	286	277	261	401	244	370	324	375	328	309	438	476	285
ACTN1-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	1634	939	1316	728	1018	1274	1100	1494	982	1610	810	1009	714	1103	1183	1200	1815	572
ACTN4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR10	102	58	44	34	36	8	35	103	40	45	33	40	15	8	94	76	88	67
ACTR1A	86	169	136	135	150	91	108	142	56	103	53	147	101	90	102	116	225	204
ACTR1AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR1B	109	97	132	47	133	192	50	167	92	199	121	116	113	50	122	62	153	51
ACTR2	819	817	804	663	434	601	526	1142	611	741	361	542	561	416	706	768	1058	355
