	GSM4072022
A530064D06Rik	72
A530084C06Rik	1
A530099J19Rik	47
A630001G21Rik	125
A630010A05Rik	52
A630023A22Rik	3
A630033H20Rik	87
A630073D07Rik	96
A630076J17Rik	5
A630095E13Rik	2
A630095N17Rik	3
A730015C16Rik	25
A730017C20Rik	2
A730018C14Rik	0
A730046J19Rik	3
A730049H05Rik	203
A730061H03Rik	14
A730071L15Rik	8
A830005F24Rik	3
A830010M20Rik	306
A830018L16Rik	212
A830031A19Rik	0
A830080D01Rik	326
A930002H24Rik	7
A930003A15Rik	2
A930004D18Rik	65
A930009A15Rik	0
A930011G23Rik	36
A930017K11Rik	1
A930017M01Rik	3
A930018M24Rik	138
A930018P22Rik	38
A930033H14Rik	195
A930035D04Rik	18
AA413626	1
AA414768	13
AA415398	135
AA467197	24
AA543401	0
AA619741	0
AA623943	0
AA792892	0
AA986860	65
AB124611	208
AC087559.1	0
AC087559.2	0
AC087559.3	0
AC102264.1	0
AC109138.1	101
AC123873.1	0
AC123873.2	0
AC123873.3	0
AC124606.1	0
AC124606.2	0
AC125149.1	4
AC125149.2	19
AC125149.3	132
AC125149.4	0
AC125149.5	0
AC125178.1	0
AC125178.2	0
AC125178.3	0
AC126035.1	0
AC132444.1	51
AC132444.2	0
AC132444.3	0
AC132444.4	0
AC132444.5	5
AC132444.6	1196
AC133095.1	0
AC133095.2	0
AC133103.1	82
AC133103.2	16
AC133103.3	0
AC133103.4	0
AC133103.5	0
AC133103.6	0
AC133103.7	36
AC139131.1	28
AC140325.1	0
AC140325.2	0
AC140325.3	0
AC140325.4	0
AC140365.1	0
AC149090.1	5891
AC152063.15	134
AC154679.1	0
AC163611.1	0
AC163611.2	0
AC164084.1	0
AC164084.2	0
AC164084.3	0
AC164883.1	0
AC164883.2	0
AC165294.1	0
AC165294.2	0
AC165294.3	0
AC168977.1	206
AC168977.2	12
AC182748.2	353
AC182748.3	532
AC202135.1	0
AC233742.1	0
AC234645.1	0
AC240971.1	0
AC244694.1	19
AC245272.1	35
AF067061	1
AF067063	2
AF366264	15
AF529169	12
AI182371	7
AI314180	5926
AI413582	242
AI429214	60
AI464131	887
AI467606	142
AI481877	3
AI593442	11
AI597479	681
AI606181	169
AI607873	1441
AI661453	30
AI837181	528
AI846148	422
AI854703	37
AI987944	408
AK010878	140
AK157302	16
AL645739.1	0
AU015228	0
AU015836	0
AU018091	5
AU019823	551
AU021092	25
AU022133	4
AU022252	960
AU022751	0
AU040320	1468
AU041133	100
AV320801	0
AW011738	253
AW146154	233
AW209491	279
AW549877	2299
AW551984	38
AW554918	398
AW822073	0
AW822252	212
AY074887	17
AY358078	0
AY761184	0
AY761185	0
Aaas	300
Aacs	13044
Aadac	37
Aadacl2	0
Aadacl3	0
Aadat	1
Aaed1	482
Aagab	1045
Aak1	2700
Aamdc	670
Aamp	2756
Aanat	26
Aar2	872
Aard	2
Aars	3913
Aars2	971
Aarsd1	677
Aasdh	510
Aasdhppt	715
Aass	11
Aatf	393
Aatk	856
Abat	218
Abca1	15962
Abca12	32
Abca13	4
Abca14	0
Abca15	0
Abca16	2
Abca17	1
Abca2	6690
Abca3	2115
Abca4	71
Abca5	776
Abca6	471
Abca7	1472
Abca8a	3145
Abca8b	970
Abca9	1320
Abcb10	972
Abcb11	1
Abcb1a	703
Abcb1b	480
Abcb4	621
Abcb5	2
Abcb6	689
Abcb7	1656
Abcb8	2542
Abcb9	440
Abcc1	2460
Abcc10	438
Abcc12	4
Abcc2	34
Abcc3	419
Abcc4	1568
Abcc5	5143
Abcc6	25
Abcc8	140
Abcc9	4026
Abcd1	1227
Abcd2	4057
Abcd3	6778
Abcd4	462
Abce1	2260
Abcf1	2094
Abcf2	1884
Abcf3	1552
Abcg1	1953
Abcg2	900
Abcg3	191
Abcg4	9
Abcg5	2
Abcg8	0
Abhd10	325
Abhd11	1067
Abhd12	2328
Abhd12b	27
Abhd13	970
Abhd14a	174
Abhd14b	516
Abhd15	1068
Abhd16a	1773
Abhd16b	12
Abhd17a	1657
Abhd17b	802
Abhd17c	601
Abhd18	673
Abhd2	2767
Abhd3	243
Abhd4	2426
Abhd5	2260
Abhd6	652
Abhd8	250
Abi1	1961
Abi2	841
Abi3	1000
Abi3bp	454
Abl1	2125
Abl2	1817
Ablim1	6473
Ablim2	542
Ablim3	1669
Abo	0
Abr	1401
Abra	511
Abracl	255
Abt1	281
Abtb1	753
Abtb2	457
Acaa1a	3097
Acaa1b	1497
Acaa2	19010
Acaca	237568
Acacb	40659
Acad10	920
Acad11	4894
Acad12	1104
Acad8	1544
Acad9	5389
Acadl	15647
Acadm	22000
Acads	6199
Acadsb	4397
Acadvl	36000
Acan	2
Acap1	255
Acap2	2706
Acap3	491
Acat1	9315
Acat2	4512
Acat3	46
Acbd3	1736
Acbd4	2510
Acbd5	2557
Acbd6	822
Acbd7	0
Accs	404
Accsl	1
Acd	257
Ace	1154
Ace2	1
Ace3	0
Acer1	29
Acer2	1753
Acer3	2694
Ache	66
Acin1	2724
Ackr1	76
Ackr2	38
Ackr3	755
Ackr4	250
Acly	212099
Acmsd	39
Acnat1	29
Acnat2	9
Aco1	5209
Aco2	113869
Acod1	23
Acot1	197
Acot10	0
Acot11	26983
Acot12	45
Acot13	822
Acot2	4005
Acot3	3
Acot4	178
Acot5	6
Acot6	173
Acot7	296
Acot8	340
Acot9	1111
Acox1	12415
Acox2	151
Acox3	2403
Acoxl	9
Acp1	1272
Acp2	1790
Acp5	1907
Acp6	740
Acp7	0
Acpp	107
Acpt	10
Acr	14
Acrbp	202
Acrv1	34
Acsbg1	138
Acsbg2	22
Acsf2	3293
Acsf3	1817
Acsl1	40026
Acsl3	1152
Acsl4	1358
Acsl5	27328
Acsl6	83
Acsm1	0
Acsm2	48
Acsm3	927
Acsm4	1
Acsm5	71
Acss1	2593
Acss2	24730
Acss3	1219
Acta1	46437
Acta2	2861
Actb	47974
Actbl2	0
Actc1	42
Actg-ps1	2
Actg1	14916
Actg2	53
Actl10	6
Actl11	0
Actl6a	580
Actl6b	9
Actl7a	10
Actl7b	0
Actl9	4
Actn1	930
Actn2	3866
Actn3	8915
Actn4	6836
Actr10	1278
Actr1a	4436
Actr1b	3358
Actr2	3172
Actr3	5454
Actr3b	35
Actr5	276
Actr6	202
Actr8	901
Actrt1	0
Actrt2	0
Actrt3	1
Acvr1	305
Acvr1b	704
Acvr1c	2341
Acvr2a	1457
Acvr2b	100
Acvrl1	756
Acy1	155
Acy3	311
Acyp1	303
Acyp2	701
Ada	74
Adad1	0
Adad2	0
Adal	308
Adam10	1870
Adam11	261
Adam12	2696
Adam15	2230
Adam17	2189
Adam18	0
Adam19	1196
Adam1a	170
Adam1b	12
Adam2	6
Adam20	1
Adam21	17
Adam22	401
Adam23	1390
Adam24	0
Adam25	0
Adam26a	0
Adam26b	0
Adam28	31
Adam29	0
Adam3	0
Adam30	1
Adam32	7
Adam33	179
Adam34	0
Adam39	3
Adam4	110
Adam5	11
Adam6a	0
Adam6b	0
Adam7	0
Adam8	1175
Adam9	2435
Adamdec1	1
Adamts1	2345
Adamts10	1077
Adamts12	2001
Adamts13	2
Adamts14	197
Adamts15	674
Adamts16	22
Adamts17	98
Adamts18	50
Adamts19	9
Adamts2	1920
Adamts20	129
Adamts3	81
Adamts4	303
Adamts5	3108
Adamts6	132
Adamts7	203
Adamts8	13
Adamts9	3685
Adamtsl1	492
Adamtsl2	44
Adamtsl3	562
Adamtsl4	379
Adamtsl5	622
Adap1	1595
Adap2	666
Adar	1692
Adarb1	1132
Adarb2	262
Adat1	184
Adat2	75
Adat3	131
Adck1	736
Adck2	468
Adck3	20208
Adck4	810
Adck5	203
Adcy1	43
Adcy10	824
Adcy2	178
Adcy3	3333
Adcy4	561
Adcy5	620
Adcy6	4445
Adcy7	2055
Adcy8	7
Adcy9	1449
Adcyap1	0
Adcyap1r1	756
Add1	3786
Add2	1
Add3	2302
Adgb	35
Adgra1	7
Adgra2	674
Adgra3	965
Adgrb1	22
Adgrb2	26
Adgrb3	160
Adgrd1	296
Adgrd2-ps	0
Adgre1	2437
Adgre4	110
Adgre5	2066
Adgrf1	1
Adgrf2	8
Adgrf3	56
Adgrf4	10
Adgrf5	7881
Adgrg1	891
Adgrg2	118
Adgrg3	69
Adgrg4	17
Adgrg5	42
Adgrg6	302
Adgrg7	1
Adgrl1	581
Adgrl2	1083
Adgrl3	268
Adgrl4	2097
Adgrv1	189
Adh1	2436
Adh4	3
Adh5	2339
Adh6-ps1	21
Adh6a	2
Adh6b	63
Adh7	50
Adhfe1	1963
Adi1	773
Adig	2044
Adipoq	16566
Adipor1	5973
Adipor2	22717
Adk	1355
Adm	96
Adm2	1
Adnp	274
Adnp2	845
Ado	1049
Adora1	3695
Adora2a	324
Adora2b	22
Adora3	65
Adpgk	560
Adprh	669
Adprhl1	1030
Adprhl2	609
Adprm	213
Adra1a	1397
Adra1b	14
Adra1d	223
Adra2a	27
Adra2b	61
Adra2c	19
Adrb1	406
Adrb2	236
Adrb3	4180
Adrbk1	2176
Adrbk2	2996
Adrm1	1825
Adsl	1252
Adss	1649
Adssl1	2005
Adtrp	306
Aebp1	2157
Aebp2	1796
Aen	796
Aes	9800
Afap1	7473
Afap1l1	830
Afap1l2	330
Aff1	2228
Aff2	40
Aff3	171
Aff4	7763
Afg3l1	1623
Afg3l2	3265
Afm	1
Afmid	118
Afp	5
Aftph	2129
Aga	689
Agap1	2052
Agap2	272
Agap3	1134
Agbl1	405
Agbl2	82
Agbl3	238
Agbl4	11
Agbl5	326
Ager	35
Agfg1	2453
Agfg2	704
Aggf1	1071
Agk	557
Agl	7186
Agmat	2
Agmo	1292
Ago1	1390
Ago2	3445
Ago3	1977
Ago4	491
Agpat1	2309
Agpat2	35726
Agpat3	10344
Agpat4	251
Agpat5	663
Agpat9	462
Agps	2188
Agr2	3
Agr3	0
Agrn	2351
Agrp	11
Agt	152
Agtpbp1	1639
Agtr1a	271
Agtr1b	7
Agtr2	3
Agtrap	851
Agxt	1
Agxt2	3
Ahctf1	2454
Ahcy	305
Ahcyl1	8507
Ahcyl2	3989
Ahdc1	755
Ahi1	290
Ahnak	83482
Ahnak2	3099
Ahr	434
Ahrr	75
Ahsa1	2043
Ahsa2	1038
Ahsg	29
Aicda	11
Aida	1176
Aif1	262
Aif1l	357
Aifm1	2038
Aifm2	9406
Aifm3	12
Aig1	499
Aim1	1119
Aim1l	171
Aim2	311
Aimp1	896
Aimp2	290
Aip	794
Aipl1	13
Aire	42
Ajap1	6
Ajuba	624
Ak1	3996
Ak2	7414
Ak3	5186
Ak3l2-ps	0
Ak4	160
Ak5	22
Ak6	810
Ak7	0
Ak8	8
Ak9	27
Akain1	0
Akap1	5941
Akap10	1401
Akap11	2279
Akap12	3450
Akap13	6744
Akap14	7
Akap17b	183
Akap2	4107
Akap3	3
Akap4	0
Akap5	450
Akap6	948
Akap7	1403
Akap8	1800
Akap8l	832
Akap9	5269
Akip1	238
Akirin1	1958
Akirin1-ps	35
Akirin2	538
Akna	953
Aknad1	31
Akp-ps1	19
Akp3	0
Akr1a1	8474
Akr1b10	802
Akr1b3	2740
Akr1b7	4
Akr1b8	668
Akr1c12	18
Akr1c13	118
Akr1c14	153
Akr1c18	21
Akr1c19	7
Akr1c20	0
Akr1c21	2
Akr1c6	0
Akr1cl	13
Akr1d1	14
Akr1e1	788
Akr7a5	994
Akt1	2542
Akt1s1	1549
Akt2	8886
Akt2-ps	2
Akt3	1074
Aktip	1037
Alad	1046
Alas1	5845
Alas2	339
Alb	154
Alcam	1178
Aldh16a1	959
Aldh18a1	365
Aldh1a1	1062
Aldh1a2	32
Aldh1a3	243
Aldh1a7	2676
Aldh1b1	73
Aldh1l1	2611
Aldh1l2	180
Aldh2	7277
Aldh3a1	4
Aldh3a2	1405
Aldh3b1	243
Aldh3b2	219
Aldh3b3	20
Aldh4a1	3007
Aldh5a1	1058
Aldh6a1	7318
Aldh7a1	1285
Aldh8a1	28
Aldh9a1	1407
Aldoa	165435
Aldoart1	7
Aldoart2	7
Aldob	443
Aldoc	147
Alg1	752
Alg10b	1083
Alg11	664
Alg12	309
Alg13	288
Alg14	577
Alg2	808
Alg3	224
Alg5	498
Alg6	465
Alg8	130
Alg9	956
Alk	0
Alkbh1	466
Alkbh2	73
Alkbh3	883
Alkbh4	152
Alkbh5	4337
Alkbh6	564
Alkbh7	426
Alkbh8	296
Allc	0
Alms1	681
Alms1-ps1	9
Alms1-ps2	4
Alox12	79
Alox12b	0
Alox12e	1
Alox15	69
Alox5	43
Alox5ap	355
Alox8	46
Aloxe3	36
Alpi	0
